Frequency(MHz),Power(dBmV/100kHz)_20260203_091320
107.8981,-1.52
107.9981,-1.52
108.0981,-1.52
108.1981,-1.52
108.2981,-1.52
108.3981,-1.52
108.4981,-1.52
108.5981,-1.52
108.6981,-1.52
108.7981,-1.52
108.8981,-1.52
108.9981,-1.52
109.0981,-1.52
109.1981,-1.52
109.2981,-1.52
109.3981,-1.52
109.4981,-1.52
109.5981,-1.52
109.6981,-1.52
109.7981,-1.52
109.8981,-1.52
109.9981,-1.52
110.0981,-1.52
110.1981,-1.52
110.2981,-1.52
110.3981,-1.52
110.4981,-1.52
110.5981,-1.52
110.6981,-1.52
110.7981,-1.52
110.8981,-1.52
110.9981,-1.52
111.0981,-1.52
111.1981,-1.52
111.2981,-1.52
111.3981,-1.52
111.4981,-1.52
111.5981,-1.52
111.6981,-1.52
111.7981,-1.52
111.8981,-1.52
111.9981,-1.52
112.0981,-1.52
112.1981,-1.52
112.2981,-1.52
112.3981,-1.52
112.4981,-1.52
112.5981,-1.52
112.6981,-1.52
112.7981,-1.52
112.8981,-1.43
112.9981,-1.52
113.0981,-1.14
113.1981,-0.77
113.2981,1.96
113.3981,3.28
113.4981,3.37
113.5981,3.37
113.6981,3.37
113.7981,5.45
113.8981,5.82
113.9981,8.83
114.0981,15.05
114.1981,18.34
114.2981,21.35
114.3981,22.76
114.4981,23.05
114.5981,23.99
114.6981,23.42
114.7981,23.7
114.8981,24.36
114.9981,24.17
115.0981,24.46
115.1981,23.61
115.2981,24.74
115.3981,23.8
115.4981,24.36
115.5981,23.61
115.6981,23.99
115.7981,24.65
115.8981,24.74
115.9981,23.42
116.0981,23.61
116.1981,23.05
116.2981,23.7
116.3981,24.17
116.4981,23.8
116.5981,23.52
116.6981,23.42
116.7981,24.46
116.8981,24.36
116.9981,24.36
117.0981,23.99
117.1981,24.55
117.2981,23.7
117.3981,23.61
117.4981,24.27
117.5981,23.42
117.6981,24.27
117.7981,23.61
117.8981,23.7
117.9981,24.08
118.0981,23.99
118.1981,23.89
118.2981,24.27
118.3981,23.7
118.4981,22.95
118.5981,22.95
118.6981,23.14
118.7981,24.08
118.8981,23.99
118.9981,23.99
119.0981,23.89
119.1981,23.33
119.2981,22.95
119.3981,23.89
119.4981,22.29
119.5981,20.79
119.6981,19.0
119.7981,15.89
119.8981,10.9
119.9981,11.94
120.0981,16.83
120.1981,19.75
120.2981,21.26
120.3981,23.14
120.4981,23.05
120.5981,23.14
120.6981,23.42
120.7981,23.99
120.8981,23.61
120.9981,23.8
121.0981,23.23
121.1981,24.65
121.2981,23.61
121.3981,23.8
121.4981,24.17
121.5981,23.8
121.6981,23.52
121.7981,24.36
121.8981,23.33
121.9981,23.7
122.0981,23.7
122.1981,24.46
122.2981,23.8
122.3981,24.27
122.4981,23.05
122.5981,23.8
122.6981,23.7
122.7981,24.27
122.8981,24.08
122.9981,23.99
123.0981,23.23
123.1981,23.52
123.2981,23.99
123.3981,24.27
123.4981,24.17
123.5981,24.65
123.6981,23.23
123.7981,23.42
123.8981,24.36
123.9981,24.27
124.0981,23.89
124.1981,23.7
124.2981,24.17
124.3981,24.65
124.4981,23.89
124.5981,22.95
124.6981,23.8
124.7981,23.42
124.8981,22.29
124.9981,22.57
125.0981,23.05
125.1981,23.14
125.2981,23.14
125.3981,22.95
125.4981,21.35
125.5981,20.88
125.6981,17.87
125.7981,13.63
125.8981,10.43
125.9981,14.39
126.0981,17.3
126.1981,20.32
126.2981,21.92
126.3981,23.23
126.4981,23.89
126.5981,23.7
126.6981,23.14
126.7981,23.52
126.8981,23.42
126.9981,23.89
127.0981,23.61
127.1981,23.89
127.2981,23.52
127.3981,23.61
127.4981,23.14
127.5981,23.42
127.6981,23.14
127.7981,22.76
127.8981,23.52
127.9981,23.23
128.0981,23.33
128.1981,23.05
128.2981,22.57
128.3981,22.67
128.4981,23.14
128.5981,23.23
128.6981,24.36
128.7981,22.86
128.8981,23.23
128.9981,23.7
129.0981,23.7
129.1981,23.7
129.2981,23.61
129.3981,24.74
129.4981,24.08
129.5981,24.08
129.6981,23.14
129.7981,23.89
129.8981,24.08
129.9981,22.86
130.0981,23.7
130.1981,23.14
130.2981,23.7
130.3981,23.99
130.4981,23.14
130.5981,23.42
130.6981,22.76
130.7981,23.7
130.8981,23.61
130.9981,23.61
131.0981,23.61
131.1981,23.8
131.2981,23.7
131.3981,23.89
131.4981,22.01
131.5981,19.85
131.6981,17.3
131.7981,11.19
131.8981,6.86
131.9981,5.35
132.0981,3.37
132.1981,3.28
132.2981,3.28
132.3981,3.19
132.4981,2.62
132.5981,-0.48
132.6981,-0.67
132.7981,-1.05
132.8981,-1.05
132.9981,-1.24
133.0981,-1.52
133.1981,-1.71
133.2981,-1.52
133.3981,-1.52
133.4981,-1.71
133.5981,-1.71
133.6981,-1.71
133.7981,-1.71
133.8981,-1.71
133.9981,-1.71
134.0981,-1.71
134.1981,-1.71
134.2981,-1.71
134.3981,-1.71
134.4981,-1.71
134.5981,-1.71
134.6981,-1.71
134.7981,-1.71
134.8981,-1.52
134.9981,-1.71
135.0981,-1.71
135.1981,-1.71
135.2981,-1.71
135.3981,-1.43
135.4981,-1.52
135.5981,-1.52
135.6981,-1.52
135.7981,-1.43
135.8981,-1.43
135.9981,-1.43
136.0981,-1.52
136.1981,-1.43
136.2981,-1.43
136.3981,-1.43
136.4981,-1.43
136.5981,-1.43
136.6981,-1.43
136.7981,-1.24
136.8981,-1.24
136.9981,-1.24
137.0981,-1.24
137.1981,1.59
137.2981,2.53
137.3981,3.37
137.4981,3.47
137.5981,3.56
137.6981,5.63
137.7981,10.53
137.8981,11.09
137.9981,16.08
138.0981,18.25
138.1981,20.13
138.2981,22.57
138.3981,23.05
138.4981,23.42
138.5981,24.17
138.6981,24.36
138.7981,23.23
138.8981,23.7
138.9981,22.95
139.0981,23.33
139.1981,23.52
139.2981,23.14
139.3981,22.48
139.4981,23.42
139.5981,23.14
139.6981,23.8
139.7981,23.23
139.8981,23.33
139.9981,23.05
140.0981,24.08
140.1981,22.57
140.2981,22.86
140.3981,22.76
140.4981,22.57
140.5981,22.95
140.6981,23.42
140.7981,23.14
140.8981,23.99
140.9981,24.17
141.0981,23.14
141.1981,24.17
141.2981,23.89
141.3981,23.61
141.4981,23.8
141.5981,23.8
141.6981,24.46
141.7981,23.99
141.8981,23.61
141.9981,24.17
142.0981,24.36
142.1981,23.89
142.2981,24.74
142.3981,23.33
142.4981,23.42
142.5981,23.89
142.6981,23.99
142.7981,23.99
142.8981,23.89
142.9981,23.89
143.0981,25.02
143.1981,23.89
143.2981,23.33
143.3981,22.39
143.4981,19.85
143.5981,18.25
143.6981,15.23
143.7981,10.9
143.8981,13.82
143.9981,17.12
144.0981,20.97
144.1981,22.39
144.2981,23.14
144.3981,23.8
144.4981,23.7
144.5981,23.52
144.6981,25.12
144.7981,24.46
144.8981,23.8
144.9981,24.08
145.0981,23.61
145.1981,23.89
145.2981,24.55
145.3981,23.61
145.4981,24.08
145.5981,23.99
145.6981,23.33
145.7981,23.61
145.8981,23.7
145.9981,24.36
146.0981,23.61
146.1981,23.89
146.2981,24.08
146.3981,23.7
146.4981,24.55
146.5981,24.17
146.6981,23.23
146.7981,23.8
146.8981,25.21
146.9981,24.74
147.0981,24.17
147.1981,23.99
147.2981,23.99
147.3981,23.89
147.4981,24.36
147.5981,23.42
147.6981,23.05
147.7981,23.52
147.8981,23.23
147.9981,22.95
148.0981,22.95
148.1981,23.99
148.2981,24.08
148.3981,23.89
148.4981,23.42
148.5981,23.99
148.6981,23.33
148.7981,22.86
148.8981,23.7
148.9981,23.05
149.0981,23.33
149.1981,22.67
149.2981,22.57
149.3981,21.35
149.4981,19.47
149.5981,16.83
149.6981,12.41
149.7981,10.15
149.8981,14.48
149.9981,17.49
150.0981,20.22
150.1981,22.01
150.2981,22.48
150.3981,24.08
150.4981,23.14
150.5981,23.61
150.6981,23.42
150.7981,23.8
150.8981,23.52
150.9981,23.89
151.0981,23.33
151.1981,23.7
151.2981,23.52
151.3981,23.8
151.4981,23.8
151.5981,23.61
151.6981,24.08
151.7981,23.33
151.8981,23.99
151.9981,23.8
152.0981,23.23
152.1981,23.42
152.2981,23.42
152.3981,23.99
152.4981,24.36
152.5981,23.8
152.6981,23.33
152.7981,22.67
152.8981,23.14
152.9981,24.08
153.0981,24.27
153.1981,22.67
153.2981,23.8
153.3981,23.61
153.4981,23.42
153.5981,24.65
153.6981,23.89
153.7981,23.33
153.8981,24.27
153.9981,23.7
154.0981,24.08
154.1981,24.17
154.2981,23.42
154.3981,23.23
154.4981,22.57
154.5981,22.86
154.6981,23.52
154.7981,24.46
154.8981,23.8
154.9981,22.57
155.0981,22.95
155.1981,23.52
155.2981,22.29
155.3981,21.16
155.4981,18.9
155.5981,15.52
155.6981,11.0
155.7981,11.94
155.8981,16.55
155.9981,20.03
156.0981,21.45
156.1981,22.67
156.2981,23.14
156.3981,22.48
156.4981,22.1
156.5981,23.7
156.6981,23.33
156.7981,23.99
156.8981,22.86
156.9981,23.33
157.0981,23.7
157.1981,23.52
157.2981,23.52
157.3981,23.61
157.4981,23.61
157.5981,24.08
157.6981,23.99
157.7981,23.23
157.8981,23.33
157.9981,24.65
158.0981,24.27
158.1981,23.89
158.2981,23.99
158.3981,24.46
158.4981,24.55
158.5981,23.33
158.6981,23.14
158.7981,22.76
158.8981,22.95
158.9981,24.46
159.0981,23.33
159.1981,23.33
159.2981,23.23
159.3981,23.89
159.4981,22.76
159.5981,24.08
159.6981,24.36
159.7981,23.61
159.8981,24.08
159.9981,23.99
160.0981,24.65
160.1981,24.27
160.2981,24.08
160.3981,23.99
160.4981,23.42
160.5981,23.33
160.6981,22.2
160.7981,24.27
160.8981,23.89
160.9981,22.76
161.0981,23.33
161.1981,23.89
161.2981,22.67
161.3981,20.88
161.4981,17.49
161.5981,14.57
161.6981,10.06
161.7981,11.85
161.8981,17.68
161.9981,19.94
162.0981,21.35
162.1981,23.52
162.2981,23.99
162.3981,23.8
162.4981,23.42
162.5981,23.05
162.6981,23.14
162.7981,24.17
162.8981,23.52
162.9981,23.33
163.0981,22.67
163.1981,23.52
163.2981,24.17
163.3981,23.52
163.4981,23.7
163.5981,23.61
163.6981,23.52
163.7981,23.23
163.8981,24.17
163.9981,23.23
164.0981,23.8
164.1981,23.23
164.2981,23.05
164.3981,24.36
164.4981,24.27
164.5981,23.23
164.6981,24.27
164.7981,23.33
164.8981,24.36
164.9981,24.08
165.0981,24.65
165.1981,23.52
165.2981,23.7
165.3981,24.65
165.4981,23.89
165.5981,23.7
165.6981,23.23
165.7981,22.86
165.8981,23.23
165.9981,24.55
166.0981,23.8
166.1981,23.14
166.2981,23.7
166.3981,22.86
166.4981,23.05
166.5981,22.95
166.6981,22.67
166.7981,23.42
166.8981,23.33
166.9981,24.55
167.0981,24.08
167.1981,22.67
167.2981,22.76
167.3981,19.85
167.4981,16.83
167.5981,14.1
167.6981,10.9
167.7981,15.05
167.8981,18.43
167.9981,21.16
168.0981,23.05
168.1981,23.61
168.2981,23.61
168.3981,23.23
168.4981,22.86
168.5981,23.61
168.6981,23.61
168.7981,23.05
168.8981,23.89
168.9981,23.14
169.0981,23.14
169.1981,22.76
169.2981,24.65
169.3981,23.52
169.4981,23.61
169.5981,23.89
169.6981,23.89
169.7981,24.27
169.8981,23.33
169.9981,23.23
170.0981,23.14
170.1981,23.7
170.2981,23.33
170.3981,24.55
170.4981,24.08
170.5981,23.33
170.6981,23.8
170.7981,24.36
170.8981,24.46
170.9981,23.61
171.0981,23.05
171.1981,23.14
171.2981,24.17
171.3981,23.42
171.4981,23.05
171.5981,23.99
171.6981,22.95
171.7981,24.08
171.8981,23.33
171.9981,23.89
172.0981,23.8
172.1981,23.23
172.2981,23.61
172.3981,23.99
172.4981,23.8
172.5981,23.7
172.6981,23.61
172.7981,23.7
172.8981,24.27
172.9981,24.36
173.0981,24.08
173.1981,22.76
173.2981,21.45
173.3981,20.32
173.4981,16.08
173.5981,11.37
173.6981,10.62
173.7981,15.61
173.8981,18.9
173.9981,20.5
174.0981,23.42
174.1981,23.14
174.2981,23.52
174.3981,23.8
174.4981,23.33
174.5981,23.8
174.6981,24.27
174.7981,23.61
174.8981,23.7
174.9981,23.61
175.0981,23.99
175.1981,24.27
175.2981,23.8
175.3981,23.99
175.4981,23.99
175.5981,24.46
175.6981,23.61
175.7981,23.61
175.8981,23.61
175.9981,23.89
176.0981,23.99
176.1981,23.89
176.2981,23.33
176.3981,24.36
176.4981,24.36
176.5981,23.89
176.6981,24.17
176.7981,23.99
176.8981,22.39
176.9981,23.7
177.0981,23.61
177.1981,24.27
177.2981,23.8
177.3981,23.33
177.4981,23.52
177.5981,23.89
177.6981,24.27
177.7981,23.89
177.8981,23.8
177.9981,23.99
178.0981,23.52
178.1981,24.46
178.2981,24.08
178.3981,23.61
178.4981,24.46
178.5981,23.8
178.6981,24.17
178.7981,23.23
178.8981,22.76
178.9981,22.86
179.0981,23.14
179.1981,21.92
179.2981,20.13
179.3981,18.53
179.4981,15.33
179.5981,10.25
179.6981,12.88
179.7981,17.87
179.8981,19.85
179.9981,21.92
