Frequency(MHz),Power(dBmV/100kHz)_20260203_084000
107.8981,-5.27
107.9981,-5.27
108.0981,-5.27
108.1981,-5.27
108.2981,-5.27
108.3981,-5.27
108.4981,-5.27
108.5981,-5.27
108.6981,-5.27
108.7981,-5.27
108.8981,-5.27
108.9981,-5.27
109.0981,-5.27
109.1981,-5.27
109.2981,-5.27
109.3981,-5.27
109.4981,-5.27
109.5981,-5.27
109.6981,-5.27
109.7981,-5.27
109.8981,-5.27
109.9981,-5.27
110.0981,-5.27
110.1981,-5.27
110.2981,-5.27
110.3981,-5.27
110.4981,-5.27
110.5981,-5.27
110.6981,-5.27
110.7981,-5.27
110.8981,-5.27
110.9981,-5.27
111.0981,-5.27
111.1981,-5.27
111.2981,-5.08
111.3981,-5.27
111.4981,-5.27
111.5981,-5.27
111.6981,-5.27
111.7981,-5.27
111.8981,-5.27
111.9981,-5.08
112.0981,-5.27
112.1981,-5.27
112.2981,-5.27
112.3981,-5.27
112.4981,-5.27
112.5981,-5.27
112.6981,-5.27
112.7981,-5.27
112.8981,-5.27
112.9981,-5.27
113.0981,-5.27
113.1981,-5.27
113.2981,-5.27
113.3981,-5.27
113.4981,-5.27
113.5981,-5.27
113.6981,-5.27
113.7981,-5.27
113.8981,-5.27
113.9981,-5.27
114.0981,-5.27
114.1981,-5.27
114.2981,-5.27
114.3981,-5.27
114.4981,-5.27
114.5981,-5.27
114.6981,-5.27
114.7981,-5.27
114.8981,-5.27
114.9981,-5.27
115.0981,-5.27
115.1981,-5.27
115.2981,-5.27
115.3981,-5.27
115.4981,-5.27
115.5981,-5.27
115.6981,-5.27
115.7981,-5.27
115.8981,-5.27
115.9981,-5.27
116.0981,-5.27
116.1981,-5.27
116.2981,-5.27
116.3981,-5.27
116.4981,-5.27
116.5981,-5.27
116.6981,-5.27
116.7981,-5.27
116.8981,-5.27
116.9981,-5.27
117.0981,-5.27
117.1981,-5.27
117.2981,-5.27
117.3981,-5.27
117.4981,-5.27
117.5981,-5.27
117.6981,-5.27
117.7981,-5.27
117.8981,-5.27
117.9981,-5.27
118.0981,-5.27
118.1981,-5.27
118.2981,-5.27
118.3981,-5.27
118.4981,-5.27
118.5981,-5.27
118.6981,-5.27
118.7981,-5.27
118.8981,-5.27
118.9981,-5.27
119.0981,-5.27
119.1981,-5.27
119.2981,-5.27
119.3981,-5.27
119.4981,-5.27
119.5981,-5.27
119.6981,-5.27
119.7981,-5.27
119.8981,-5.27
119.9981,-5.27
120.0981,-5.27
120.1981,-5.27
120.2981,-5.27
120.3981,-5.27
120.4981,-5.27
120.5981,-5.27
120.6981,-5.27
120.7981,-5.27
120.8981,-5.08
120.9981,-5.27
121.0981,-5.27
121.1981,-5.27
121.2981,-5.27
121.3981,-5.27
121.4981,-5.27
121.5981,-5.08
121.6981,-5.27
121.7981,-5.27
121.8981,-5.27
121.9981,-5.27
122.0981,-5.27
122.1981,-5.27
122.2981,-5.27
122.3981,-5.08
122.4981,-5.08
122.5981,-5.08
122.6981,-5.27
122.7981,-5.27
122.8981,-5.08
122.9981,-5.08
123.0981,-5.08
123.1981,-5.27
123.2981,-5.08
123.3981,-5.27
123.4981,-5.27
123.5981,-5.27
123.6981,-5.27
123.7981,-5.08
123.8981,-5.08
123.9981,-5.27
124.0981,-5.08
124.1981,-5.27
124.2981,-5.27
124.3981,-5.27
124.4981,-5.27
124.5981,-5.27
124.6981,-5.27
124.7981,-5.08
124.8981,-5.27
124.9981,-5.08
125.0981,-5.08
125.1981,-5.27
125.2981,-5.27
125.3981,-5.27
125.4981,-5.27
125.5981,-5.08
125.6981,-5.27
125.7981,-5.08
125.8981,-5.27
125.9981,-5.08
126.0981,-5.27
126.1981,-5.27
126.2981,-5.27
126.3981,-5.08
126.4981,-5.27
126.5981,-5.27
126.6981,-5.08
126.7981,-5.27
126.8981,-5.08
126.9981,-5.08
127.0981,-5.08
127.1981,-5.08
127.2981,-5.08
127.3981,-5.08
127.4981,-5.08
127.5981,-5.08
127.6981,-5.27
127.7981,-5.27
127.8981,-5.27
127.9981,-5.08
128.0981,-5.08
128.1981,-4.8
128.2981,-5.08
128.3981,-5.08
128.4981,-5.08
128.5981,-4.99
128.6981,-5.08
128.7981,-4.42
128.8981,-3.2
128.9981,-0.56
129.0981,-0.56
129.1981,-0.28
129.2981,-0.47
129.3981,-0.38
129.4981,-0.28
129.5981,0.57
129.6981,1.41
129.7981,0.38
129.8981,-0.19
129.9981,0.57
130.0981,0.1
130.1981,0.0
130.2981,0.38
130.3981,2.07
130.4981,1.98
130.5981,2.35
130.6981,2.45
130.7981,2.45
130.8981,3.11
130.9981,3.39
131.0981,4.14
131.1981,4.52
131.2981,5.08
131.3981,5.74
131.4981,6.12
131.5981,7.25
131.6981,8.19
131.7981,9.7
131.8981,12.52
131.9981,19.39
132.0981,22.97
132.1981,24.94
132.2981,26.17
132.3981,27.77
132.4981,27.86
132.5981,26.92
132.6981,27.39
132.7981,27.58
132.8981,27.2
132.9981,26.35
133.0981,26.92
133.1981,27.11
133.2981,27.2
133.3981,27.01
133.4981,25.69
133.5981,25.88
133.6981,24.85
133.7981,23.81
133.8981,23.25
133.9981,22.78
134.0981,23.15
134.1981,21.46
134.2981,21.27
134.3981,20.52
134.4981,19.48
134.5981,19.48
134.6981,19.01
134.7981,18.26
134.8981,18.26
134.9981,17.88
135.0981,18.07
135.1981,18.64
135.2981,17.7
135.3981,17.6
135.4981,18.17
135.5981,18.54
135.6981,18.26
135.7981,18.54
135.8981,19.3
135.9981,19.3
136.0981,18.92
136.1981,18.73
136.2981,19.11
136.3981,20.05
136.4981,20.52
136.5981,20.33
136.6981,21.55
136.7981,20.14
136.8981,19.95
136.9981,20.9
137.0981,20.99
137.1981,21.27
137.2981,21.55
137.3981,20.05
137.4981,18.54
137.5981,16.0
137.6981,13.74
137.7981,12.14
137.8981,9.88
137.9981,13.93
138.0981,16.94
138.1981,19.3
138.2981,20.9
138.3981,21.55
138.4981,20.99
138.5981,20.61
138.6981,20.8
138.7981,21.08
138.8981,20.61
138.9981,20.42
139.0981,20.52
139.1981,20.9
139.2981,20.52
139.3981,19.95
139.4981,20.9
139.5981,20.42
139.6981,20.8
139.7981,21.93
139.8981,20.52
139.9981,20.61
140.0981,20.8
140.1981,20.9
140.2981,21.46
140.3981,21.65
140.4981,20.24
140.5981,20.61
140.6981,20.14
140.7981,20.99
140.8981,21.27
140.9981,20.61
141.0981,20.8
141.1981,20.71
141.2981,20.9
141.3981,21.18
141.4981,20.52
141.5981,19.95
141.6981,20.42
141.7981,20.05
141.8981,20.61
