Frequency(MHz),Power(dBmV/100kHz)_20260202_204320
107.8981,3.23
107.9981,4.83
108.0981,9.82
108.1981,14.62
108.2981,17.07
108.3981,18.95
108.4981,20.36
108.5981,21.68
108.6981,20.74
108.7981,21.21
108.8981,21.02
108.9981,22.05
109.0981,21.21
109.1981,20.83
109.2981,21.11
109.3981,20.92
109.4981,21.68
109.5981,21.49
109.6981,21.58
109.7981,21.02
109.8981,20.64
109.9981,20.83
110.0981,21.77
110.1981,21.87
110.2981,20.74
110.3981,22.24
110.4981,21.77
110.5981,21.58
110.6981,21.49
110.7981,20.92
110.8981,21.4
110.9981,21.68
111.0981,21.21
111.1981,20.64
111.2981,21.49
111.3981,21.58
111.4981,20.55
111.5981,21.02
111.6981,22.34
111.7981,21.4
111.8981,20.27
111.9981,21.11
112.0981,21.49
112.1981,21.02
112.2981,20.27
112.3981,21.02
112.4981,21.11
112.5981,20.83
112.6981,21.3
112.7981,21.77
112.8981,21.02
112.9981,20.36
113.0981,21.02
113.1981,20.45
113.2981,21.4
113.3981,20.83
113.4981,20.17
113.5981,18.76
113.6981,16.78
113.7981,13.4
113.8981,8.22
113.9981,3.98
114.0981,2.67
114.1981,1.25
114.2981,0.6
114.3981,0.6
114.4981,0.5
114.5981,0.41
114.6981,0.12
114.7981,-1.66
114.8981,-2.89
114.9981,-3.08
115.0981,-3.45
115.1981,-3.45
115.2981,-3.83
115.3981,-3.73
115.4981,-3.73
115.5981,-3.83
115.6981,-3.73
115.7981,-3.92
115.8981,-3.92
115.9981,-3.92
116.0981,-3.73
116.1981,-3.83
116.2981,-4.11
116.3981,-3.83
116.4981,-3.83
116.5981,-4.02
116.6981,-3.92
116.7981,-4.11
116.8981,-4.02
116.9981,-4.3
117.0981,-4.3
117.1981,-4.02
117.2981,-4.02
117.3981,-4.02
117.4981,-4.11
117.5981,-4.02
117.6981,-4.11
117.7981,-4.3
117.8981,-3.92
117.9981,-4.02
118.0981,-3.83
118.1981,-4.02
118.2981,-4.02
118.3981,-3.92
118.4981,-3.92
118.5981,-4.02
118.6981,-3.92
118.7981,-3.92
118.8981,-3.26
118.9981,-3.83
119.0981,-0.25
119.1981,0.12
119.2981,0.12
119.3981,0.22
119.4981,0.22
119.5981,0.31
119.6981,0.78
119.7981,2.38
119.8981,3.8
119.9981,7.37
120.0981,14.24
120.1981,16.6
120.2981,17.54
120.3981,19.14
120.4981,19.51
120.5981,20.17
120.6981,21.21
120.7981,20.64
120.8981,21.49
120.9981,21.11
121.0981,21.11
121.1981,21.11
121.2981,20.36
121.3981,21.3
121.4981,20.27
121.5981,20.64
121.6981,20.36
121.7981,20.55
121.8981,21.02
121.9981,20.92
122.0981,21.68
122.1981,20.36
122.2981,19.98
122.3981,20.55
122.4981,20.27
122.5981,20.64
122.6981,20.27
122.7981,20.17
122.8981,20.17
122.9981,20.83
123.0981,21.4
123.1981,21.02
123.2981,20.55
123.3981,20.27
123.4981,20.83
123.5981,20.83
123.6981,20.92
123.7981,21.3
123.8981,20.92
123.9981,21.58
124.0981,20.83
124.1981,20.36
124.2981,21.02
124.3981,20.55
124.4981,20.92
124.5981,19.32
124.6981,20.74
124.7981,21.02
124.8981,21.58
124.9981,20.55
125.0981,21.58
125.1981,20.74
125.2981,20.27
125.3981,20.92
125.4981,19.42
125.5981,18.01
125.6981,14.71
125.7981,10.76
125.8981,7.75
125.9981,10.95
126.0981,14.24
126.1981,16.6
126.2981,18.76
126.3981,19.32
126.4981,19.89
126.5981,20.08
126.6981,20.64
126.7981,20.83
126.8981,20.55
126.9981,20.17
127.0981,20.45
127.1981,19.32
127.2981,19.98
127.3981,19.89
127.4981,20.45
127.5981,19.89
127.6981,19.51
127.7981,19.98
127.8981,20.27
127.9981,20.45
128.0981,20.64
128.1981,20.83
128.2981,20.92
128.3981,20.45
128.4981,19.51
128.5981,20.83
128.6981,20.74
128.7981,21.11
128.8981,20.55
128.9981,19.8
129.0981,20.64
129.1981,21.02
129.2981,21.68
129.3981,22.43
129.4981,21.4
129.5981,20.83
129.6981,20.55
129.7981,21.11
129.8981,20.92
129.9981,20.17
130.0981,21.21
130.1981,21.11
130.2981,21.4
130.3981,21.3
130.4981,20.64
130.5981,21.11
130.6981,20.36
130.7981,19.98
130.8981,21.02
