Frequency(MHz),Power(dBmV/100kHz)_20260203_064235
107.8981,3.0
107.9981,5.26
108.0981,10.06
108.1981,15.24
108.2981,18.72
108.3981,19.95
108.4981,21.26
108.5981,21.73
108.6981,21.45
108.7981,21.45
108.8981,20.98
108.9981,21.55
109.0981,22.2
109.1981,22.3
109.2981,21.64
109.3981,21.73
109.4981,21.73
109.5981,20.98
109.6981,22.02
109.7981,21.73
109.8981,21.83
109.9981,22.3
110.0981,21.64
110.1981,22.2
110.2981,22.2
110.3981,22.2
110.4981,22.11
110.5981,21.92
110.6981,21.26
110.7981,20.89
110.8981,20.79
110.9981,21.55
111.0981,20.7
111.1981,22.02
111.2981,20.98
111.3981,21.36
111.4981,21.83
111.5981,22.11
111.6981,21.45
111.7981,20.89
111.8981,21.26
111.9981,21.92
112.0981,21.45
112.1981,21.36
112.2981,21.26
112.3981,21.36
112.4981,21.26
112.5981,21.26
112.6981,21.07
112.7981,21.36
112.8981,21.07
112.9981,21.92
113.0981,21.45
113.1981,21.55
113.2981,22.11
113.3981,21.73
113.4981,19.95
113.5981,20.04
113.6981,17.97
113.7981,14.02
113.8981,9.69
113.9981,5.07
114.0981,3.66
114.1981,2.16
114.2981,1.78
114.3981,1.69
114.4981,1.69
114.5981,-0.95
114.6981,-2.27
114.7981,-2.55
114.8981,-2.93
114.9981,-2.64
115.0981,-2.93
115.1981,-2.74
115.2981,-2.74
115.3981,-2.93
115.4981,-2.93
115.5981,-3.02
115.6981,-2.93
115.7981,-2.93
115.8981,-3.02
115.9981,-3.02
116.0981,-3.02
116.1981,-3.21
116.2981,-3.02
116.3981,-3.21
116.4981,-3.21
116.5981,-3.02
116.6981,-3.21
116.7981,-3.21
116.8981,-3.21
116.9981,-3.21
117.0981,-3.21
117.1981,-3.21
117.2981,-3.21
117.3981,-3.21
117.4981,-3.21
117.5981,-3.21
117.6981,-3.21
117.7981,-3.21
117.8981,-3.21
117.9981,-3.02
118.0981,-3.21
118.1981,-3.02
118.2981,-3.02
118.3981,-3.02
118.4981,-2.93
118.5981,-2.93
118.6981,-3.02
118.7981,-2.93
118.8981,-2.64
118.9981,-2.64
119.0981,-2.55
119.1981,-2.27
119.2981,-2.27
119.3981,-0.85
119.4981,1.59
119.5981,1.69
119.6981,1.69
119.7981,1.87
119.8981,3.85
119.9981,7.24
120.0981,14.2
120.1981,16.09
120.2981,18.06
120.3981,19.95
120.4981,20.42
120.5981,21.07
120.6981,21.55
120.7981,20.98
120.8981,21.07
120.9981,20.89
121.0981,20.98
121.1981,21.26
121.2981,21.73
121.3981,21.45
121.4981,22.2
121.5981,21.45
121.6981,21.64
121.7981,22.2
121.8981,21.83
121.9981,21.64
122.0981,20.51
122.1981,21.36
122.2981,21.36
122.3981,20.98
122.4981,20.6
122.5981,22.02
122.6981,21.73
122.7981,21.73
122.8981,21.07
122.9981,21.45
123.0981,20.98
123.1981,21.17
123.2981,20.89
123.3981,20.42
123.4981,21.36
123.5981,20.51
123.6981,20.6
123.7981,20.32
123.8981,20.32
123.9981,21.07
124.0981,21.17
124.1981,21.55
124.2981,20.13
124.3981,22.11
124.4981,21.26
124.5981,20.79
124.6981,21.26
124.7981,20.79
124.8981,20.51
124.9981,21.64
125.0981,21.36
125.1981,21.73
125.2981,20.51
125.3981,20.7
125.4981,19.38
125.5981,16.84
125.6981,14.67
125.7981,10.16
125.8981,6.67
125.9981,10.06
126.0981,15.33
126.1981,17.78
126.2981,18.72
126.3981,19.85
126.4981,20.42
126.5981,20.23
126.6981,20.51
126.7981,21.55
126.8981,21.83
126.9981,21.26
127.0981,20.79
127.1981,21.17
127.2981,20.32
127.3981,20.89
127.4981,20.04
127.5981,20.98
127.6981,20.7
127.7981,20.6
127.8981,22.02
127.9981,20.89
128.0981,20.6
128.1981,20.79
128.2981,20.42
128.3981,21.17
128.4981,21.36
128.5981,20.51
128.6981,20.6
128.7981,21.73
128.8981,20.7
128.9981,19.95
129.0981,20.42
129.1981,20.32
129.2981,20.7
129.3981,21.17
129.4981,21.45
129.5981,21.17
129.6981,20.7
129.7981,20.7
129.8981,20.7
129.9981,20.89
130.0981,20.79
130.1981,21.55
130.2981,21.17
130.3981,20.79
130.4981,20.42
130.5981,20.98
130.6981,21.36
130.7981,21.36
130.8981,21.64
130.9981,20.89
131.0981,20.89
131.1981,20.51
131.2981,20.51
131.3981,20.42
131.4981,20.13
131.5981,16.65
131.6981,15.33
131.7981,11.38
131.8981,10.63
131.9981,11.19
132.0981,11.76
132.1981,12.6
132.2981,13.64
132.3981,14.67
132.4981,15.99
132.5981,17.5
132.6981,19.29
132.7981,21.55
132.8981,24.74
132.9981,29.64
133.0981,42.25
133.1981,35.19
133.2981,27.38
133.3981,23.43
133.4981,20.7
133.5981,18.63
133.6981,16.93
133.7981,15.52
133.8981,14.39
133.9981,13.26
134.0981,12.32
134.1981,11.66
134.2981,10.72
134.3981,10.16
134.4981,9.4
134.5981,8.84
134.6981,8.27
134.7981,7.8
134.8981,7.43
134.9981,6.77
135.0981,6.58
135.1981,6.2
135.2981,5.45
135.3981,5.45
135.4981,5.36
135.5981,5.07
135.6981,4.13
135.7981,4.13
