Frequency(MHz),Power(dBmV/100kHz)_20260203_093443
107.8981,3.01
107.9981,4.61
108.0981,10.07
108.1981,14.96
108.2981,17.6
108.3981,20.04
108.4981,20.98
108.5981,20.89
108.6981,21.08
108.7981,20.89
108.8981,20.8
108.9981,20.98
109.0981,21.83
109.1981,20.98
109.2981,21.08
109.3981,21.92
109.4981,22.3
109.5981,22.02
109.6981,21.45
109.7981,21.55
109.8981,21.64
109.9981,21.55
110.0981,21.55
110.1981,20.98
110.2981,21.36
110.3981,22.02
110.4981,21.08
110.5981,21.36
110.6981,21.55
110.7981,21.08
110.8981,21.08
110.9981,21.17
111.0981,21.27
111.1981,21.45
111.2981,21.74
111.3981,21.08
111.4981,21.74
111.5981,21.64
111.6981,21.27
111.7981,21.55
111.8981,21.45
111.9981,20.7
112.0981,21.83
112.1981,20.7
112.2981,20.98
112.3981,21.64
112.4981,21.92
112.5981,21.55
112.6981,22.02
112.7981,21.17
112.8981,20.51
112.9981,22.11
113.0981,21.27
113.1981,20.51
113.2981,20.98
113.3981,21.17
113.4981,20.14
113.5981,19.48
113.6981,17.41
113.7981,14.49
113.8981,10.07
113.9981,8.47
114.0981,12.42
114.1981,16.56
114.2981,19.1
114.3981,20.23
114.4981,21.17
114.5981,21.27
114.6981,20.89
114.7981,21.55
114.8981,22.49
114.9981,21.55
115.0981,21.17
115.1981,21.17
115.2981,21.64
115.3981,20.7
115.4981,21.17
115.5981,20.51
115.6981,21.17
115.7981,21.27
115.8981,21.74
115.9981,21.17
116.0981,21.74
116.1981,21.45
116.2981,21.27
116.3981,21.45
116.4981,21.27
116.5981,21.92
116.6981,21.27
116.7981,21.08
116.8981,21.64
116.9981,20.98
117.0981,20.51
117.1981,21.83
117.2981,21.74
117.3981,21.74
117.4981,22.49
117.5981,21.64
117.6981,21.92
117.7981,20.89
117.8981,20.51
117.9981,21.64
118.0981,20.8
118.1981,20.89
118.2981,21.64
118.3981,21.36
118.4981,22.11
118.5981,21.45
118.6981,22.3
118.7981,21.27
118.8981,20.61
118.9981,21.74
119.0981,21.17
119.1981,21.27
119.2981,21.45
119.3981,20.23
119.4981,20.23
119.5981,18.82
119.6981,16.28
119.7981,12.51
119.8981,5.83
119.9981,3.01
120.0981,1.6
120.1981,1.03
120.2981,0.94
120.3981,0.65
120.4981,0.0
120.5981,-0.29
120.6981,-3.68
120.7981,-3.96
120.8981,-3.96
120.9981,-3.96
121.0981,-3.96
121.1981,-3.96
121.2981,-3.96
121.3981,-3.96
121.4981,-3.96
121.5981,-3.96
121.6981,-3.96
121.7981,-3.96
121.8981,-3.96
121.9981,-3.96
122.0981,-3.96
122.1981,-3.96
122.2981,-3.96
122.3981,-3.96
122.4981,-3.96
122.5981,-3.96
122.6981,-3.96
122.7981,-3.96
122.8981,-3.96
122.9981,-3.96
123.0981,-3.96
123.1981,-3.96
123.2981,-3.96
123.3981,-3.96
123.4981,-3.96
123.5981,-3.96
123.6981,-3.96
123.7981,-3.96
123.8981,-3.96
123.9981,-3.96
124.0981,-3.96
124.1981,-3.96
124.2981,-3.96
124.3981,-3.77
124.4981,-3.77
124.5981,-3.96
124.6981,-3.68
124.7981,-3.49
124.8981,-3.39
124.9981,-3.3
125.0981,-3.49
125.1981,-1.23
125.2981,0.65
125.3981,0.94
125.4981,1.03
125.5981,1.12
125.6981,1.5
125.7981,3.29
125.8981,4.89
125.9981,10.16
126.0981,15.81
126.1981,18.35
126.2981,18.91
126.3981,21.08
126.4981,21.45
126.5981,21.27
126.6981,21.08
126.7981,21.74
126.8981,21.08
126.9981,21.55
127.0981,21.55
127.1981,21.55
127.2981,21.17
127.3981,21.08
127.4981,20.7
127.5981,21.08
127.6981,21.27
127.7981,21.45
127.8981,21.17
127.9981,20.61
128.0981,21.55
128.1981,22.02
128.2981,22.02
128.3981,21.64
128.4981,21.17
128.5981,21.64
128.6981,22.3
128.7981,21.64
128.8981,21.83
128.9981,21.92
129.0981,22.21
129.1981,21.17
129.2981,21.45
129.3981,22.3
129.4981,21.83
129.5981,21.83
129.6981,22.11
129.7981,21.17
129.8981,21.45
129.9981,21.36
130.0981,21.64
130.1981,22.02
130.2981,22.11
130.3981,21.64
130.4981,20.51
130.5981,21.17
130.6981,21.55
130.7981,21.74
130.8981,21.74
130.9981,20.61
131.0981,21.27
131.1981,21.55
131.2981,21.36
131.3981,21.08
131.4981,20.61
131.5981,17.03
131.6981,14.58
131.7981,10.44
131.8981,8.0
131.9981,13.64
132.0981,16.18
132.1981,19.2
132.2981,20.61
132.3981,20.42
132.4981,21.36
132.5981,21.55
132.6981,21.45
132.7981,21.08
132.8981,20.61
132.9981,21.83
133.0981,22.02
133.1981,21.27
133.2981,21.74
133.3981,21.27
133.4981,21.64
133.5981,21.83
133.6981,22.49
133.7981,22.02
133.8981,22.21
133.9981,21.27
134.0981,21.55
134.1981,21.55
134.2981,21.74
134.3981,21.83
134.4981,21.08
134.5981,21.36
134.6981,21.27
134.7981,21.64
134.8981,21.55
134.9981,21.55
135.0981,21.08
135.1981,21.27
135.2981,21.64
135.3981,21.74
135.4981,21.36
135.5981,21.83
135.6981,21.55
135.7981,22.02
135.8981,21.36
135.9981,20.8
136.0981,21.55
136.1981,21.36
136.2981,21.92
136.3981,21.92
136.4981,22.02
136.5981,22.21
136.6981,22.58
136.7981,21.92
136.8981,20.7
136.9981,20.98
137.0981,21.27
137.1981,21.83
137.2981,22.21
137.3981,20.98
137.4981,19.67
137.5981,17.12
137.6981,13.74
137.7981,10.54
137.8981,11.1
137.9981,14.4
138.0981,17.78
138.1981,20.04
138.2981,21.17
138.3981,21.55
138.4981,21.27
138.5981,21.64
138.6981,20.7
138.7981,20.98
138.8981,22.11
138.9981,22.11
139.0981,21.74
139.1981,20.51
139.2981,21.45
139.3981,21.64
139.4981,21.45
139.5981,21.83
139.6981,22.49
139.7981,21.55
139.8981,22.02
139.9981,21.45
140.0981,21.83
140.1981,22.3
140.2981,21.27
140.3981,22.3
140.4981,21.83
140.5981,21.83
140.6981,22.4
140.7981,21.17
140.8981,22.02
140.9981,21.55
141.0981,21.27
141.1981,21.74
141.2981,21.27
141.3981,22.02
141.4981,22.11
141.5981,21.27
141.6981,22.11
141.7981,22.3
141.8981,20.98
141.9981,21.74
142.0981,22.11
142.1981,21.55
142.2981,22.02
142.3981,21.55
142.4981,21.64
142.5981,21.92
142.6981,22.02
142.7981,22.3
142.8981,22.21
142.9981,22.3
143.0981,22.49
143.1981,21.55
143.2981,22.02
143.3981,20.32
143.4981,18.82
143.5981,16.94
143.6981,12.42
143.7981,11.01
143.8981,10.54
143.9981,15.05
144.0981,18.72
144.1981,19.67
144.2981,21.92
144.3981,22.21
144.4981,22.21
144.5981,21.83
144.6981,21.64
144.7981,22.3
144.8981,22.58
144.9981,21.92
145.0981,22.58
145.1981,21.92
145.2981,21.74
145.3981,21.64
145.4981,21.27
145.5981,21.36
145.6981,20.89
145.7981,21.74
145.8981,21.92
145.9981,22.58
146.0981,21.64
146.1981,21.27
146.2981,21.27
146.3981,22.02
146.4981,22.49
146.5981,22.02
146.6981,21.08
146.7981,22.49
146.8981,22.3
146.9981,22.68
147.0981,21.17
147.1981,22.3
147.2981,21.83
147.3981,21.83
147.4981,21.92
147.5981,21.64
147.6981,21.92
147.7981,21.74
147.8981,19.95
147.9981,22.02
148.0981,22.68
148.1981,22.3
148.2981,22.02
148.3981,21.64
148.4981,21.74
148.5981,22.21
148.6981,20.98
148.7981,22.11
148.8981,21.27
148.9981,20.98
149.0981,22.77
149.1981,22.49
149.2981,21.08
149.3981,20.04
149.4981,18.16
149.5981,16.0
149.6981,10.72
149.7981,8.37
149.8981,13.55
149.9981,16.65
150.0981,19.1
150.1981,19.48
150.2981,21.17
150.3981,21.92
150.4981,22.02
150.5981,21.83
150.6981,21.08
150.7981,21.92
150.8981,21.55
150.9981,21.74
151.0981,21.74
151.1981,21.74
151.2981,21.36
151.3981,21.83
151.4981,22.49
151.5981,22.11
151.6981,21.45
151.7981,22.4
151.8981,21.64
151.9981,22.68
152.0981,22.02
152.1981,22.3
152.2981,21.92
152.3981,22.3
152.4981,22.58
152.5981,22.68
152.6981,22.02
152.7981,22.11
152.8981,22.49
152.9981,22.68
153.0981,22.11
153.1981,22.49
153.2981,22.21
153.3981,22.02
153.4981,21.92
153.5981,21.27
153.6981,22.3
153.7981,21.83
153.8981,22.02
153.9981,22.21
154.0981,22.11
154.1981,21.36
154.2981,21.36
154.3981,21.08
154.4981,21.74
154.5981,22.49
154.6981,22.21
154.7981,22.49
154.8981,22.02
154.9981,22.49
155.0981,21.55
155.1981,21.83
155.2981,21.64
155.3981,20.23
155.4981,17.69
155.5981,13.83
155.6981,8.75
155.7981,9.31
155.8981,14.21
155.9981,16.94
156.0981,19.01
156.1981,20.51
156.2981,22.3
156.3981,21.64
156.4981,21.55
156.5981,21.92
156.6981,21.36
156.7981,21.45
156.8981,21.55
156.9981,21.64
157.0981,22.49
157.1981,22.77
157.2981,21.64
157.3981,22.21
157.4981,22.87
157.5981,22.49
157.6981,21.92
157.7981,21.83
157.8981,22.3
