Frequency(MHz),Power(dBmV/100kHz)_20260203_091320
107.8981,-32.38
107.9981,-33.23
108.0981,-36.62
108.1981,-39.44
108.2981,-35.21
108.3981,-30.88
108.4981,-28.34
108.5981,-27.77
108.6981,-29.28
108.7981,-34.17
108.8981,-41.8
108.9981,-32.38
109.0981,-28.71
109.1981,-27.49
109.2981,-27.77
109.3981,-28.9
109.4981,-31.07
109.5981,-35.3
109.6981,-37.09
109.7981,-32.76
109.8981,-30.69
109.9981,-30.88
110.0981,-32.29
110.1981,-33.23
110.2981,-34.08
110.3981,-37.37
110.4981,-54.41
110.5981,-38.69
110.6981,-34.17
110.7981,-33.98
110.8981,-37.18
110.9981,-39.44
111.0981,-36.62
111.1981,-33.98
111.2981,-31.54
111.3981,-29.56
111.4981,-28.9
111.5981,-30.13
111.6981,-31.54
111.7981,-29.75
111.8981,-27.87
111.9981,-27.58
112.0981,-29.09
112.1981,-31.63
112.2981,-32.1
112.3981,-29.94
112.4981,-28.81
112.5981,-28.24
112.6981,-28.43
112.7981,-30.22
112.8981,-35.11
112.9981,-43.11
113.0981,-33.89
113.1981,-30.78
113.2981,-27.96
113.3981,-30.5
113.4981,-35.3
113.5981,-44.05
113.6981,-37.18
113.7981,-29.94
113.8981,-24.67
113.9981,-19.96
114.0981,-14.22
114.1981,-13.0
114.2981,-11.3
114.3981,-7.63
114.4981,-3.02
114.5981,-0.48
114.6981,1.87
114.7981,1.59
114.8981,-0.67
114.9981,-3.21
115.0981,-6.41
115.1981,-2.45
115.2981,0.27
115.3981,1.22
115.4981,1.97
115.5981,-0.01
115.6981,-3.58
115.7981,-10.17
115.8981,-11.4
115.9981,-6.31
116.0981,-3.96
116.1981,-5.65
116.2981,-8.57
116.3981,-14.41
116.4981,-13.94
116.5981,-11.77
116.6981,-12.34
116.7981,-12.34
116.8981,-9.23
116.9981,-5.75
117.0981,-4.53
117.1981,-4.62
117.2981,-5.37
117.3981,-4.71
117.4981,-3.68
117.5981,-2.36
117.6981,-2.74
117.7981,-1.89
117.8981,-1.42
117.9981,-0.01
118.0981,0.37
118.1981,0.65
118.2981,-0.85
118.3981,-3.87
118.4981,-6.13
118.5981,-3.87
118.6981,-1.98
118.7981,-1.8
118.8981,-2.36
118.9981,-6.5
119.0981,-15.63
119.1981,-15.54
119.2981,-7.63
119.3981,-4.15
119.4981,-5.65
119.5981,-9.51
119.6981,-21.75
119.7981,-20.71
119.8981,-18.08
119.9981,-14.41
120.0981,-10.27
120.1981,-8.85
120.2981,-8.2
120.3981,-5.84
120.4981,-4.53
120.5981,-4.05
120.6981,-3.96
120.7981,-2.08
120.8981,-2.27
120.9981,-2.93
121.0981,-3.02
121.1981,-3.11
121.2981,-4.53
121.3981,-4.34
121.4981,-2.27
121.5981,-2.45
121.6981,-1.98
121.7981,-5.56
121.8981,-14.31
121.9981,-8.95
122.0981,-5.0
122.1981,-4.43
122.2981,-7.07
122.3981,-12.34
122.4981,-16.67
122.5981,-7.44
122.6981,-2.93
122.7981,-1.04
122.8981,-1.14
122.9981,-4.24
123.0981,-7.91
123.1981,-7.35
123.2981,-3.02
123.3981,-0.29
123.4981,-1.7
123.5981,-3.77
123.6981,-4.43
123.7981,-6.5
123.8981,-7.63
123.9981,-6.03
124.0981,-4.53
124.1981,-4.9
124.2981,-5.18
124.3981,-5.47
124.4981,-5.94
124.5981,-6.69
124.6981,-8.67
124.7981,-6.6
124.8981,-4.24
124.9981,-4.05
125.0981,-4.43
125.1981,-9.51
125.2981,-10.64
125.3981,-6.78
125.4981,-5.75
125.5981,-7.16
125.6981,-9.14
125.7981,-14.88
125.8981,-19.96
125.9981,-14.6
126.0981,-8.29
126.1981,-4.24
126.2981,-3.21
126.3981,-4.15
126.4981,-7.73
126.5981,-5.94
126.6981,-4.15
126.7981,-2.45
126.8981,-3.4
126.9981,-5.75
127.0981,-13.47
127.1981,-17.98
127.2981,-7.91
127.3981,-5.18
127.4981,-4.53
127.5981,-4.71
127.6981,-7.63
127.7981,-9.42
127.8981,-8.95
127.9981,-5.56
128.0981,-2.64
128.1981,-0.95
128.2981,-0.85
128.3981,-0.57
128.4981,-3.49
128.5981,-8.1
128.6981,-8.48
128.7981,-1.8
128.8981,0.65
128.9981,1.5
129.0981,0.27
129.1981,-1.51
129.2981,-4.05
129.3981,-7.44
129.4981,-4.9
129.5981,-1.8
129.6981,-1.7
129.7981,-1.98
129.8981,-5.84
129.9981,-12.43
130.0981,-12.43
130.1981,-10.45
130.2981,-12.62
130.3981,-16.1
130.4981,-12.9
130.5981,-9.7
130.6981,-7.44
130.7981,-4.62
130.8981,-2.45
130.9981,-3.21
131.0981,-4.62
131.1981,-3.49
131.2981,-1.33
131.3981,-1.7
131.4981,-3.58
131.5981,-5.28
131.6981,-7.44
131.7981,-12.34
131.8981,-17.8
131.9981,-20.62
132.0981,-22.88
132.1981,-22.22
132.2981,-21.75
132.3981,-22.13
132.4981,-23.25
132.5981,-29.28
132.6981,-33.23
132.7981,-35.3
132.8981,-31.25
132.9981,-29.09
133.0981,-29.56
133.1981,-32.85
133.2981,-40.29
133.3981,-37.56
133.4981,-33.23
133.5981,-31.63
133.6981,-31.54
133.7981,-33.04
133.8981,-35.3
133.9981,-33.14
134.0981,-29.0
134.1981,-26.64
134.2981,-25.98
134.3981,-26.55
134.4981,-26.93
134.5981,-27.02
134.6981,-27.21
134.7981,-28.15
134.8981,-28.24
134.9981,-27.3
135.0981,-26.36
135.1981,-26.36
135.2981,-27.4
135.3981,-29.37
135.4981,-31.44
135.5981,-32.76
135.6981,-31.73
135.7981,-30.5
135.8981,-30.6
135.9981,-33.7
136.0981,-44.15
136.1981,-39.91
136.2981,-33.14
136.3981,-31.91
136.4981,-33.98
136.5981,-40.76
136.6981,-38.5
136.7981,-31.44
136.8981,-28.05
136.9981,-26.74
137.0981,-26.83
137.1981,-24.57
137.2981,-25.33
137.3981,-24.38
137.4981,-22.5
137.5981,-20.53
137.6981,-17.51
137.7981,-11.87
137.8981,-12.24
137.9981,-9.33
138.0981,-7.44
138.1981,-5.47
138.2981,-5.0
138.3981,-4.24
138.4981,-5.09
138.5981,-4.53
138.6981,-4.81
138.7981,-7.82
138.8981,-13.47
138.9981,-12.53
139.0981,-9.42
139.1981,-8.29
139.2981,-8.48
139.3981,-9.7
139.4981,-9.7
139.5981,-6.22
139.6981,-4.53
139.7981,-3.77
139.8981,-3.77
139.9981,-7.16
140.0981,-5.09
140.1981,-3.21
140.2981,-1.61
140.3981,-0.85
140.4981,-2.17
140.5981,-1.98
140.6981,-5.0
140.7981,-4.9
140.8981,-2.83
140.9981,-0.38
141.0981,0.37
141.1981,-0.76
141.2981,-5.0
141.3981,-6.88
141.4981,-7.16
141.5981,-6.22
141.6981,-5.47
141.7981,-3.49
141.8981,-2.55
141.9981,-5.65
142.0981,-9.42
142.1981,-12.9
142.2981,-6.88
142.3981,-3.4
142.4981,-2.64
142.5981,-0.85
142.6981,-1.42
142.7981,-5.0
142.8981,-11.21
142.9981,-5.0
143.0981,-0.76
143.1981,-0.2
143.2981,-0.95
143.3981,-3.21
143.4981,-8.2
143.5981,-13.37
143.6981,-15.25
143.7981,-17.33
143.8981,-12.43
143.9981,-8.01
144.0981,-7.73
144.1981,-9.23
144.2981,-6.03
144.3981,-5.28
144.4981,-6.41
144.5981,-7.44
144.6981,-5.47
144.7981,-3.21
144.8981,-3.77
144.9981,-5.28
145.0981,-4.81
145.1981,-5.18
145.2981,-5.75
145.3981,-4.15
145.4981,-2.45
145.5981,-1.04
145.6981,-1.04
145.7981,-1.04
145.8981,-1.61
145.9981,-2.27
146.0981,-3.77
146.1981,-6.22
146.2981,-5.18
146.3981,-3.21
146.4981,-1.33
146.5981,-1.51
146.6981,-1.89
146.7981,-6.22
146.8981,-22.88
146.9981,-9.89
147.0981,-3.68
147.1981,-2.93
147.2981,-2.45
147.3981,-5.65
147.4981,-11.21
147.5981,-10.17
147.6981,-3.68
147.7981,-2.27
147.8981,-1.8
147.9981,-1.23
148.0981,-3.21
148.1981,-3.68
148.2981,-4.53
148.3981,-4.43
148.4981,-2.08
148.5981,-1.33
148.6981,-0.85
148.7981,-0.76
148.8981,-1.51
148.9981,-2.74
149.0981,-3.11
149.1981,-4.71
149.2981,-5.28
149.3981,-4.15
149.4981,-6.22
149.5981,-10.55
149.6981,-18.83
149.7981,-29.47
149.8981,-21.56
149.9981,-14.5
150.0981,-13.84
150.1981,-18.64
150.2981,-13.09
150.3981,-6.22
150.4981,-3.68
150.5981,-1.8
150.6981,-1.8
150.7981,-3.77
150.8981,-4.81
150.9981,-3.02
151.0981,0.27
151.1981,0.74
151.2981,0.84
151.3981,0.74
151.4981,-0.85
151.5981,-1.33
151.6981,-0.85
151.7981,-1.33
151.8981,-0.29
151.9981,-0.38
152.0981,0.09
152.1981,-1.7
152.2981,-3.02
152.3981,-5.84
152.4981,-7.07
152.5981,-8.67
152.6981,-6.22
152.7981,-5.18
152.8981,-5.75
152.9981,-11.49
153.0981,-22.88
153.1981,-9.98
153.2981,-6.31
153.3981,-3.77
153.4981,-2.55
153.5981,-5.0
153.6981,-5.47
153.7981,-3.77
153.8981,-0.76
153.9981,0.56
154.0981,0.56
154.1981,-1.33
154.2981,-1.8
154.3981,-0.85
154.4981,0.74
154.5981,1.22
154.6981,0.37
154.7981,-0.29
154.8981,-2.27
154.9981,-3.21
