Frequency(MHz),Power(dBmV/100kHz)_20260202_204320
107.8981,-18.53
107.9981,-17.4
108.0981,-11.0
108.1981,-6.39
108.2981,-2.44
108.3981,0.01
108.4981,2.36
108.5981,2.08
108.6981,1.51
108.7981,1.23
108.8981,1.7
108.9981,0.85
109.0981,0.76
109.1981,-0.65
109.2981,-0.65
109.3981,-3.19
109.4981,-3.01
109.5981,-1.97
109.6981,-0.93
109.7981,0.38
109.8981,1.79
109.9981,1.61
110.0981,1.32
110.1981,1.79
110.2981,2.08
110.3981,0.48
110.4981,0.57
110.5981,-0.37
110.6981,-0.75
110.7981,-2.63
110.8981,-2.63
110.9981,-0.84
111.0981,-0.37
111.1981,0.67
111.2981,0.19
111.3981,0.57
111.4981,-0.75
111.5981,1.32
111.6981,1.7
111.7981,2.17
111.8981,3.11
111.9981,2.83
112.0981,2.74
112.1981,0.29
112.2981,-0.75
112.3981,-1.31
112.4981,-1.41
112.5981,-1.31
112.6981,0.29
112.7981,1.79
112.8981,1.51
112.9981,1.61
113.0981,2.27
113.1981,2.92
113.2981,3.87
113.3981,2.92
113.4981,1.98
113.5981,-1.12
113.6981,-3.66
113.7981,-7.05
113.8981,-14.49
113.9981,-18.53
114.0981,-19.95
114.1981,-21.17
114.2981,-22.86
114.3981,-23.05
114.4981,-22.77
114.5981,-22.3
114.6981,-21.83
114.7981,-21.64
114.8981,-24.93
114.9981,-25.5
115.0981,-25.59
115.1981,-25.59
115.2981,-25.59
115.3981,-25.69
115.4981,-26.06
115.5981,-26.72
115.6981,-27.66
115.7981,-27.76
115.8981,-26.82
115.9981,-25.88
116.0981,-24.93
116.1981,-24.46
116.2981,-24.37
116.3981,-24.28
116.4981,-24.56
116.5981,-24.75
116.6981,-24.56
116.7981,-24.46
116.8981,-24.56
116.9981,-25.03
117.0981,-25.78
117.1981,-26.82
117.2981,-27.66
117.3981,-27.66
117.4981,-27.1
117.5981,-26.35
117.6981,-26.25
117.7981,-26.16
117.8981,-26.35
117.9981,-26.44
118.0981,-26.25
118.1981,-25.69
118.2981,-25.12
118.3981,-24.84
118.4981,-24.84
118.5981,-25.22
118.6981,-25.78
118.7981,-26.63
118.8981,-26.35
118.9981,-24.18
119.0981,-23.62
119.1981,-23.05
119.2981,-22.11
119.3981,-21.17
119.4981,-20.32
119.5981,-19.76
119.6981,-17.69
119.7981,-16.84
119.8981,-15.43
119.9981,-11.85
120.0981,-6.02
120.1981,-2.72
120.2981,-1.22
120.3981,-0.37
120.4981,-0.37
120.5981,-0.65
120.6981,-0.46
120.7981,0.29
120.8981,0.57
120.9981,0.57
121.0981,1.23
121.1981,1.98
121.2981,1.98
121.3981,2.08
121.4981,2.74
121.5981,3.39
121.6981,4.15
121.7981,2.83
121.8981,1.89
121.9981,0.67
122.0981,-1.31
122.1981,-3.85
122.2981,-4.42
122.3981,-3.57
122.4981,-2.35
122.5981,0.48
122.6981,0.57
122.7981,1.23
122.8981,1.7
122.9981,1.98
123.0981,1.79
123.1981,0.95
123.2981,0.67
123.3981,1.14
123.4981,0.67
123.5981,0.1
123.6981,-0.18
123.7981,-1.41
123.8981,-0.75
123.9981,-1.41
124.0981,-0.37
124.1981,1.04
124.2981,1.04
124.3981,1.79
124.4981,2.83
124.5981,3.02
124.6981,2.17
124.7981,3.11
124.8981,1.98
124.9981,1.32
125.0981,1.04
125.1981,0.85
125.2981,-1.12
125.3981,-2.72
125.4981,-3.85
125.5981,-5.55
125.6981,-7.24
125.7981,-9.03
125.8981,-12.32
125.9981,-8.09
126.0981,-4.42
126.1981,-1.69
126.2981,-0.65
126.3981,0.48
126.4981,0.1
126.5981,0.1
126.6981,-0.09
126.7981,-1.59
126.8981,-2.06
126.9981,-1.41
127.0981,-1.78
127.1981,-1.03
127.2981,-1.22
127.3981,-0.56
127.4981,-0.65
127.5981,0.01
127.6981,0.57
127.7981,1.23
127.8981,1.61
127.9981,1.32
128.0981,0.67
128.1981,-0.28
128.2981,-1.03
128.3981,-1.31
128.4981,-1.59
128.5981,-0.75
128.6981,-1.03
128.7981,-0.37
128.8981,-0.84
128.9981,-0.09
129.0981,0.95
129.1981,1.7
129.2981,2.74
129.3981,2.74
129.4981,3.02
129.5981,0.67
129.6981,-0.09
129.7981,0.19
129.8981,0.38
129.9981,1.23
130.0981,-0.18
130.1981,0.57
130.2981,-0.46
130.3981,-1.41
130.4981,-1.78
130.5981,-1.97
130.6981,-1.97
130.7981,-0.37
130.8981,-0.18
130.9981,0.01
131.0981,0.76
131.1981,0.57
131.2981,0.01
131.3981,0.19
131.4981,-1.78
131.5981,-3.76
131.6981,-7.24
131.7981,-10.91
131.8981,-11.85
131.9981,-10.72
132.0981,-9.5
132.1981,-8.18
132.2981,-6.86
132.3981,-5.73
132.4981,-4.32
132.5981,-2.44
132.6981,-0.46
132.7981,1.98
132.8981,4.71
132.9981,9.14
133.0981,21.75
133.1981,13.94
133.2981,4.99
133.3981,1.14
133.4981,-1.59
133.5981,-3.57
133.6981,-5.83
133.7981,-7.8
133.8981,-9.59
133.9981,-10.16
134.0981,-9.88
134.1981,-9.5
134.2981,-9.31
134.3981,-9.69
134.4981,-10.35
134.5981,-11.38
134.6981,-12.7
134.7981,-14.11
134.8981,-15.33
134.9981,-16.46
135.0981,-17.4
135.1981,-18.16
135.2981,-18.72
135.3981,-18.53
135.4981,-17.97
135.5981,-17.12
135.6981,-16.28
135.7981,-15.99
135.8981,-16.46
135.9981,-16.56
136.0981,-16.84
136.1981,-17.5
136.2981,-18.63
136.3981,-19.38
136.4981,-20.23
136.5981,-20.7
136.6981,-21.08
136.7981,-21.08
136.8981,-20.79
136.9981,-20.51
137.0981,-19.85
137.1981,-19.1
137.2981,-18.44
137.3981,-17.59
137.4981,-16.46
137.5981,-15.24
137.6981,-14.3
137.7981,-10.35
137.8981,-9.59
137.9981,-6.49
138.0981,-4.89
138.1981,-3.38
138.2981,-4.13
138.3981,-3.01
138.4981,-1.69
138.5981,-1.78
138.6981,-1.31
138.7981,-0.37
138.8981,-0.37
138.9981,-0.46
139.0981,-0.37
139.1981,-0.46
139.2981,-0.09
139.3981,-0.09
139.4981,-0.93
139.5981,-1.41
139.6981,-3.66
139.7981,-3.29
139.8981,-3.01
139.9981,-3.29
140.0981,-2.06
140.1981,-0.46
140.2981,-0.93
140.3981,-0.28
140.4981,-0.28
140.5981,0.19
140.6981,0.76
140.7981,0.95
140.8981,1.23
140.9981,1.51
141.0981,-0.37
141.1981,-0.65
141.2981,-1.03
141.3981,-2.16
141.4981,-2.72
141.5981,-2.91
141.6981,-1.78
141.7981,-1.41
141.8981,-0.56
141.9981,1.04
142.0981,0.29
142.1981,0.29
142.2981,1.23
142.3981,-0.09
142.4981,-0.18
142.5981,0.38
142.6981,0.19
142.7981,-0.28
142.8981,-0.56
142.9981,-1.22
143.0981,-1.12
143.1981,-0.46
143.2981,-1.78
143.3981,-2.35
143.4981,-3.76
143.5981,-6.02
143.6981,-9.31
143.7981,-12.6
143.8981,-9.69
143.9981,-4.7
144.0981,-2.44
144.1981,-1.12
144.2981,-0.46
144.3981,-0.09
144.4981,0.29
144.5981,-0.56
144.6981,-1.5
144.7981,-3.19
144.8981,-3.48
144.9981,-1.78
145.0981,-1.12
145.1981,-0.28
145.2981,-0.18
145.3981,0.67
145.4981,-0.37
145.5981,-0.18
145.6981,-0.46
145.7981,0.48
145.8981,2.55
145.9981,2.17
146.0981,1.42
146.1981,0.67
146.2981,-0.75
146.3981,-1.78
146.4981,-2.82
146.5981,-2.06
146.6981,-2.35
146.7981,-1.22
146.8981,-0.93
146.9981,-0.28
147.0981,-0.84
147.1981,-1.59
147.2981,-0.09
147.3981,0.85
147.4981,0.38
147.5981,0.19
147.6981,-0.93
147.7981,-0.65
147.8981,-3.19
147.9981,-3.57
148.0981,-3.19
148.1981,-1.88
148.2981,-1.31
148.3981,-0.84
148.4981,-1.78
148.5981,0.48
148.6981,0.95
148.7981,0.38
148.8981,1.7
148.9981,0.95
149.0981,0.19
149.1981,0.38
149.2981,-0.18
149.3981,-2.63
149.4981,-5.83
149.5981,-8.65
149.6981,-13.92
149.7981,-17.31
149.8981,-12.7
149.9981,-7.99
150.0981,-3.76
150.1981,-0.56
150.2981,0.38
150.3981,1.61
150.4981,0.95
150.5981,0.85
150.6981,-0.09
150.7981,-0.46
150.8981,-1.12
150.9981,-1.03
151.0981,-1.97
151.1981,-2.63
151.2981,-4.04
151.3981,-3.19
151.4981,-2.16
151.5981,-0.84
151.6981,0.76
151.7981,1.14
151.8981,1.14
151.9981,0.1
152.0981,0.29
152.1981,-0.18
152.2981,0.38
152.3981,-0.65
152.4981,-0.18
152.5981,0.01
152.6981,-2.91
152.7981,-2.16
152.8981,-3.57
152.9981,-2.72
153.0981,-3.1
153.1981,-1.88
153.2981,-1.03
153.3981,-0.56
153.4981,0.1
