Frequency(MHz),Power(dBmV/100kHz)_20260203_064235
107.8981,-22.45
107.9981,-21.23
108.0981,-14.55
108.1981,-8.62
108.2981,-4.85
108.3981,-2.88
108.4981,-0.71
108.5981,-1.84
108.6981,-4.2
108.7981,-7.58
108.8981,-12.29
108.9981,-9.65
109.0981,-4.57
109.1981,-2.03
109.2981,0.98
109.3981,1.92
109.4981,0.79
109.5981,0.98
109.6981,-0.24
109.7981,-0.81
109.8981,-1.56
109.9981,-2.41
110.0981,-3.91
110.1981,-4.38
110.2981,-5.98
110.3981,-6.83
110.4981,-7.68
110.5981,-8.24
110.6981,-6.55
110.7981,-2.78
110.8981,-0.62
110.9981,1.17
111.0981,2.11
111.1981,1.54
111.2981,1.83
111.3981,0.6
111.4981,-1.84
111.5981,-4.85
111.6981,-7.3
111.7981,-6.55
111.8981,-4.38
111.9981,-2.78
112.0981,-2.03
112.1981,-2.22
112.2981,-2.88
112.3981,-2.6
112.4981,-4.38
112.5981,-4.29
112.6981,-3.73
112.7981,-3.73
112.8981,-2.97
112.9981,-3.07
113.0981,-2.78
113.1981,-3.82
113.2981,-3.35
113.3981,-2.88
113.4981,-2.22
113.5981,-2.31
113.6981,-3.63
113.7981,-5.7
113.8981,-11.44
113.9981,-17.37
114.0981,-20.67
114.1981,-24.71
114.2981,-29.61
114.3981,-32.24
114.4981,-28.76
114.5981,-28.29
114.6981,-26.22
114.7981,-25.47
114.8981,-25.0
114.9981,-25.09
115.0981,-25.56
115.1981,-26.03
115.2981,-26.5
115.3981,-26.5
115.4981,-26.6
115.5981,-26.78
115.6981,-27.63
115.7981,-29.14
115.8981,-31.58
115.9981,-34.41
116.0981,-33.18
116.1981,-29.8
116.2981,-27.25
116.3981,-25.84
116.4981,-25.09
116.5981,-25.18
116.6981,-25.84
116.7981,-27.44
116.8981,-29.51
116.9981,-31.58
117.0981,-30.83
117.1981,-28.85
117.2981,-26.88
117.3981,-25.47
117.4981,-24.9
117.5981,-24.9
117.6981,-25.56
117.7981,-26.69
117.8981,-27.82
117.9981,-28.76
118.0981,-29.14
118.1981,-29.04
118.2981,-28.76
118.3981,-29.33
118.4981,-30.45
118.5981,-31.49
118.6981,-31.02
118.7981,-28.85
118.8981,-26.41
118.9981,-24.34
119.0981,-23.11
119.1981,-22.64
119.2981,-21.7
119.3981,-18.97
119.4981,-20.38
119.5981,-22.93
119.6981,-26.41
119.7981,-27.25
119.8981,-25.09
119.9981,-17.28
120.0981,-9.47
120.1981,-4.76
120.2981,-3.35
120.3981,-1.47
120.4981,-0.53
120.5981,-1.28
120.6981,-0.81
120.7981,-0.71
120.8981,-0.9
120.9981,-0.81
121.0981,-0.34
121.1981,-2.03
121.2981,-3.73
121.3981,-4.76
121.4981,-5.61
121.5981,-3.16
121.6981,-2.03
121.7981,0.32
121.8981,0.7
121.9981,0.79
122.0981,0.23
122.1981,-1.94
122.2981,-6.45
122.3981,-9.84
122.4981,-8.05
122.5981,-4.57
122.6981,-0.53
122.7981,-0.34
122.8981,0.98
122.9981,0.7
123.0981,0.7
123.1981,0.04
123.2981,-0.71
123.3981,-1.47
123.4981,-2.31
123.5981,-2.41
123.6981,-2.88
123.7981,-2.88
123.8981,-5.23
123.9981,-7.58
124.0981,-9.18
124.1981,-6.74
124.2981,-2.88
124.3981,0.13
124.4981,2.02
124.5981,2.58
124.6981,2.02
124.7981,0.89
124.8981,-0.06
124.9981,-1.84
125.0981,-4.95
125.1981,-6.36
125.2981,-5.98
125.3981,-4.1
