Frequency(MHz),Power(dBmV/100kHz)_20260203_093443
107.8981,-17.63
107.9981,-16.03
108.0981,-10.1
108.1981,-5.87
108.2981,-3.42
108.3981,-0.03
108.4981,-0.13
108.5981,0.81
108.6981,1.85
108.7981,2.22
108.8981,2.32
108.9981,1.28
109.0981,1.85
109.1981,1.47
109.2981,0.62
109.3981,1.66
109.4981,1.0
109.5981,0.44
109.6981,1.0
109.7981,1.19
109.8981,0.53
109.9981,-0.79
110.0981,0.15
110.1981,-0.6
110.2981,-1.07
110.3981,-0.69
110.4981,-0.6
110.5981,-0.6
110.6981,-1.35
110.7981,-1.92
110.8981,-2.86
110.9981,-1.54
111.0981,-1.26
111.1981,-1.07
111.2981,-0.22
111.3981,-0.6
111.4981,0.44
111.5981,1.0
111.6981,0.72
111.7981,1.57
111.8981,2.22
111.9981,1.66
112.0981,1.94
112.1981,2.6
112.2981,2.41
112.3981,2.41
112.4981,2.41
112.5981,2.79
112.6981,2.51
112.7981,2.69
112.8981,2.13
112.9981,1.19
113.0981,1.28
113.1981,0.34
113.2981,0.91
113.3981,1.09
113.4981,-0.69
113.5981,-2.29
113.6981,-3.33
113.7981,-6.81
113.8981,-11.8
113.9981,-12.74
114.0981,-7.94
114.1981,-5.78
114.2981,-4.36
114.3981,-3.23
114.4981,-1.16
114.5981,-0.79
114.6981,-1.63
114.7981,-0.13
114.8981,-0.51
114.9981,-0.69
115.0981,0.72
115.1981,1.66
115.2981,0.81
115.3981,1.66
115.4981,1.66
115.5981,1.0
115.6981,0.91
115.7981,0.34
115.8981,0.25
115.9981,-0.03
116.0981,1.57
116.1981,1.47
116.2981,2.22
116.3981,0.91
116.4981,2.13
116.5981,2.04
116.6981,1.66
116.7981,2.41
116.8981,2.22
116.9981,2.41
117.0981,2.13
117.1981,1.09
117.2981,1.0
117.3981,0.44
117.4981,0.34
117.5981,0.06
117.6981,0.15
117.7981,0.15
117.8981,-0.32
117.9981,-0.41
118.0981,-0.22
118.1981,1.28
118.2981,-0.03
118.3981,1.28
118.4981,-0.13
118.5981,0.81
118.6981,0.44
118.7981,0.34
118.8981,0.91
118.9981,1.38
119.0981,1.47
119.1981,0.44
119.2981,1.09
119.3981,1.0
119.4981,-0.41
119.5981,-2.1
119.6981,-4.93
119.7981,-8.32
119.8981,-13.78
119.9981,-16.79
120.0981,-18.39
120.1981,-19.61
120.2981,-19.7
120.3981,-19.89
120.4981,-20.18
120.5981,-21.59
120.6981,-24.6
120.7981,-24.79
120.8981,-25.07
120.9981,-25.07
121.0981,-25.07
121.1981,-25.26
121.2981,-25.26
121.3981,-25.16
121.4981,-25.35
121.5981,-25.26
121.6981,-25.16
121.7981,-25.26
121.8981,-25.16
121.9981,-25.07
122.0981,-25.26
