Frequency(MHz),Magnitude(dB)_20260203_091320
107.8981,-1.2642773147766104
107.9981,-2.041943402364172
108.0981,-5.064123074035837
108.1981,-8.421052294298866
108.2981,-3.821089055726454
108.3981,0.45060757925663397
108.4981,2.8534528555019496
108.5981,3.5231722501717972
108.6981,2.0687173079230776
108.7981,-2.752966018088351
108.8981,-10.881768057168697
108.9981,-1.1690834677248243
109.0981,2.5115377891996498
109.1981,3.802691437824742
109.2981,3.681324829746893
109.3981,2.4351674953693205
109.4981,0.2369023827791445
109.5981,-4.132045988728896
109.6981,-5.622732130757777
109.7981,-1.4638451886164197
109.8981,0.7613122346901714
109.9981,0.4181138003400482
110.0981,-0.844814492305777
110.1981,-2.0689581176000247
110.2981,-2.888932665001261
110.3981,-6.094817331110227
110.4981,-22.217763732339037
110.5981,-7.573343633547365
110.6981,-3.15864985368016
110.7981,-3.1207794391436754
110.8981,-5.761874548257065
110.9981,-8.142369295904244
111.0981,-5.781313000259367
111.1981,-2.9930233879635364
111.2981,-0.27050983178799337
111.3981,1.7254747340060883
111.4981,2.383826137062683
111.5981,1.2675625065025409
111.6981,-0.1342844550388537
111.7981,1.371986618403023
111.8981,3.3801799347088717
111.9981,3.772379317557321
112.0981,2.189186915881493
112.1981,-0.36441654053461947
112.2981,-0.4490710648057339
112.3981,1.3447705618021564
112.4981,2.5999168047490055
112.5981,3.0925553334172418
112.6981,2.8395263404542623
112.7981,1.0130877891115313
112.8981,-3.7257576340331533
112.9981,-12.609579925297298
113.0981,-2.676512804587653
113.1981,0.34574717880033823
113.2981,0.1643033727567948
113.3981,-2.5297682254837217
113.4981,-8.070034817234497
113.5981,-16.83086560835008
113.6981,-11.000865225611536
113.7981,-3.920123544941698
113.8981,-0.1585224132339874
113.9981,1.1460364586095646
114.0981,0.2712485830682449
114.1981,-2.0379421029121465
114.2981,-2.8416706686003836
114.3981,-0.20523558431140937
114.4981,3.029522655363726
114.5981,5.650135974209438
114.6981,7.216263924325533
114.7981,7.434511231751991
