Frequency(MHz),Magnitude(dB)_20260203_083959
107.8981,9.85203835489632
107.9981,9.03735953686724
108.0981,6.8348264592928185
108.1981,3.482055287356109
108.2981,4.118285547507322
108.3981,7.236543840234977
108.4981,8.85606572334519
108.5981,8.991851146392019
108.6981,7.993064939161393
108.7981,6.088093022801377
108.8981,5.1906856128996095
108.9981,7.06240051716706
109.0981,8.715865362219288
109.1981,9.124969518094364
109.2981,8.29435328046888
109.3981,6.100800778761251
109.4981,3.8069756009860454
109.5981,5.657423006204468
109.6981,8.44878727977681
109.7981,9.774874677660177
109.8981,9.68793381482767
109.9981,8.288872938943413
110.0981,5.372024628838999
110.1981,3.026170444388003
110.2981,5.726226824631285
110.3981,8.356683172926019
110.4981,9.239334706904275
110.5981,8.951845029088393
110.6981,7.47299917972624
110.7981,5.625337418427884
110.8981,6.1482394901227835
110.9981,8.113822784475017
111.0981,9.215980992676865
111.1981,9.01946995469017
111.2981,7.548581794218331
111.3981,4.799402117910479
111.4981,3.519996899115452
111.5981,6.623779411429948
111.6981,9.072265312977061
111.7981,9.768527723693767
111.8981,9.341915592352159
111.9981,7.612917099088684
112.0981,4.939195659841463
112.1981,4.719316769477851
112.2981,7.348123863564266
112.3981,8.923845922945658
112.4981,9.139727644943399
112.5981,8.171980139553655
112.6981,6.3397729190790075
112.7981,5.327773030228783
112.8981,7.115954272192763
112.9981,8.993651844745663
113.0981,9.546575448405894
113.1981,8.839366282003718
113.2981,6.591519489885963
113.3981,3.0970786512515724
113.4981,4.11047845221871
113.5981,7.932114517118362
113.6981,9.887504679421397
113.7981,10.224208647962378
113.8981,9.280372576631624
113.9981,7.101258308086792
114.0981,4.630721284350881
114.1981,5.67831594441561
114.2981,8.039213440299324
114.3981,9.168472149187885
114.4981,8.884729508520953
114.5981,7.350787921761813
114.6981,5.195828303024791
114.7981,5.582728578480647
114.8981,8.00511220644811
114.9981,9.404699651193518
115.0981,9.524177811677633
115.1981,8.369684950915945
115.2981,5.733451197635478
115.3981,3.6025345552376473
115.4981,6.308345178280508
115.5981,8.950671190200225
115.6981,9.87057647672758
115.7981,9.605775542330875
115.8981,8.062866344673003
115.9981,5.634156989807664
116.0981,4.959684347306664
116.1981,7.326919533964277
116.2981,8.908439285530877
116.3981,9.05759300981618
116.4981,7.862767031617891
116.5981,5.113020865805459
116.6981,3.424102440294241
116.7981,7.074401237501346
116.8981,9.88230034866491
116.9981,10.818513153950125
117.0981,10.551969679189225
117.1981,9.013833895981563
117.2981,5.487442029536599
117.3981,1.755816775501832
117.4981,5.723302547881884
117.5981,8.91417243487731
117.6981,9.852496663206379
117.7981,9.472364799589618
117.8981,7.752353293724401
117.9981,5.2420080796691435
118.0981,5.335779928920602
118.1981,7.658309192537444
118.2981,8.980733057137495
118.3981,9.092478489603943
118.4981,7.913706687248601
118.5981,5.749633629379327
118.6981,4.801290171945843
118.7981,7.45138837484393
118.8981,9.486134383505208
118.9981,10.120252630900353
119.0981,9.50762986085486
119.1981,7.261686226582235
119.2981,3.4926139900650863
119.3981,3.928757332534738
119.4981,7.490298195036033
119.5981,9.167621619177336
119.6981,9.322318419585121
119.7981,8.425318584129576
119.8981,6.3406686451152074
119.9981,5.114068456437623
120.0981,7.027544992253212
120.1981,8.887558296838712
120.2981,9.409677771825054
120.3981,8.6433833752264
120.4981,6.459762799679205
120.5981,4.069310398422509
120.6981,5.938407675626182
120.7981,8.879930387511566
120.8981,10.27004685878529
120.9981,10.242718748804013
121.0981,8.93346959781759
121.1981,5.94439513524363
121.2981,2.733629177035712
121.3981,5.49819679347253
121.4981,8.390318965290152
121.5981,9.552196817325612
121.6981,9.367140548183684
121.7981,7.959663117695889
121.8981,5.825978300410336
121.9981,5.831313000023677
122.0981,7.8532413930808165
122.1981,9.137903362897429
122.2981,9.160435701633817
122.3981,7.96250781266682
122.4981,5.195619561408279
122.5981,3.823731621659957
122.6981,7.0390755296435925
122.7981,9.417659718631754
122.8981,10.157690401453678
122.9981,9.73406128710254
123.0981,8.069843698311608
123.1981,5.022558266862362
123.2981,4.268925248829255
123.3981,7.073324412571069
123.4981,8.988068782960463
123.5981,9.372234147659404
123.6981,8.358016986206012
123.7981,6.272782718696771
123.8981,4.915444793309545
123.9981,6.828293859544344
124.0981,8.840770802546086
124.1981,9.540166658518036
124.2981,8.894518583791136
124.3981,6.52857984810613
124.4981,2.6749556784278843
124.5981,4.011747178854691
