Frequency(MHz),Magnitude(dB)_20260202_204320
107.8981,9.27681393345168
107.9981,8.968457582814814
108.0981,9.222066930316231
108.1981,9.933426156183382
108.2981,10.763475146589961
108.3981,11.40577329792592
108.4981,11.74197550023068
108.5981,11.766420004470493
108.6981,11.536341907404877
108.7981,11.139052997617501
108.8981,10.646793481116907
108.9981,10.06020351580198
109.0981,9.302410074679615
109.1981,8.25207032684183
109.2981,6.9285061913332395
109.3981,5.746684601691917
109.4981,5.672673386159604
109.5981,6.867053398259653
109.6981,8.358693245456303
109.7981,9.508207702546764
109.8981,10.211678319835702
109.9981,10.537305483787877
110.0981,10.620023126271361
110.1981,10.563339886051033
110.2981,10.395450223761266
110.3981,10.051662646645365
110.4981,9.430929294130548
110.5981,8.456997412807825
110.6981,7.259949729194833
110.7981,6.330507260508556
110.8981,6.389801814153993
110.9981,7.281280525911762
111.0981,8.234549919766572
111.1981,8.810944785285697
111.2981,8.998671018033686
111.3981,9.034284419105758
111.4981,9.323464003080325
111.5981,10.082404099307286
111.6981,11.075294995973021
111.7981,11.886862513676737
111.8981,12.270086197673384
111.9981,12.108075281245828
112.0981,11.376757563306327
112.1981,10.099522546692917
112.2981,8.543144239073937
112.3981,7.441192305770887
112.4981,7.546213660469823
112.5981,8.415474780135211
112.6981,9.28663977043178
112.7981,9.908512685406864
112.8981,10.372914073641052
112.9981,10.858381148692464
113.0981,11.422500502339386
113.1981,11.949748937556874
113.2981,12.266517854789074
113.3981,12.227569600690316
113.4981,11.768614484200342
113.5981,10.896554086124763
113.6981,9.736630919007887
113.7981,8.61729948694297
113.8981,7.950345094422317
113.9981,7.929083326017018
114.0981,8.122796263231843
114.1981,7.763739600172714
114.2981,7.328488067260651
114.3981,7.1991809959608215
114.4981,7.435945771377076
114.5981,8.131177610121588
114.6981,8.710983380188754
114.7981,9.20516988189859
114.8981,9.341489055533565
114.9981,9.357515003782598
115.0981,9.384663356953787
115.1981,9.284114722372502
115.2981,9.318919989716722
115.3981,9.163701874402507
115.4981,8.776736340150876
115.5981,8.084417023298798
115.6981,7.457106142036313
115.7981,7.360269158471091
115.8981,8.116012772112994
115.9981,9.148984978291814
116.0981,10.061415908209705
116.1981,10.58420899448177
116.2981,10.713711901683931
116.3981,10.621427675670683
116.4981,10.363325319821728
116.5981,10.34168574871022
116.6981,10.457384897614464
116.7981,10.565420258314202
116.8981,10.4729293989062
116.9981,10.036097951845393
117.0981,9.188708373705452
117.1981,8.12830097751102
117.2981,7.427007850003397
117.3981,7.373877132410023
117.4981,7.922813506749473
117.5981,8.50373260566489
117.6981,8.922305489908695
