Frequency(MHz),Magnitude(dB)_20260203_093443
107.8981,8.054916148597952
107.9981,7.93783751525086
108.0981,8.009908998228727
108.1981,8.117487559230089
108.2981,8.244617450281263
108.3981,8.398372130788852
108.4981,8.583369669262641
108.5981,8.778602566475897
108.6981,8.967206144491366
108.7981,9.098619065652628
108.8981,9.155317393839455
108.9981,9.1119943754375
109.0981,8.967365899214533
109.1981,8.735774979232417
109.2981,8.448126768500352
109.3981,8.15321744608536
109.4981,7.895919923940829
109.5981,7.696954705597983
109.6981,7.573803119076289
109.7981,7.49774179451555
109.8981,7.454921697883538
109.9981,7.404298025464811
110.0981,7.344485728875676
110.1981,7.2441121727866244
110.2981,7.098802585760104
110.3981,6.8869917571887065
110.4981,6.594782637196172
110.5981,6.231054323781139
110.6981,5.838913916565107
110.7981,5.483698836560793
110.8981,5.266019719373505
110.9981,5.2819669109811915
111.0981,5.538113257424765
111.1981,5.970825743096096
111.2981,6.489814368344323
111.3981,7.002280686867036
111.4981,7.4943900803079995
111.5981,7.929817188647476
111.6981,8.335276065298359
111.7981,8.70034129350941
111.8981,9.038851033269895
111.9981,9.31974902118262
112.0981,9.536741287414639
112.1981,9.668173447769483
112.2981,9.708028784464805
112.3981,9.65779121574258
112.4981,9.542950076435318
112.5981,9.38925860733075
112.6981,9.229097735106848
112.7981,9.068219221871454
112.8981,8.910591359314557
112.9981,8.72705759288057
113.0981,8.519116843303943
113.1981,8.265742133801492
113.2981,8.001445593304252
113.3981,7.751661702022891
113.4981,7.567782384688302
113.5981,7.477318558617484
113.6981,7.4490182045351725
113.7981,7.446366049232614
113.8981,7.399652466836376
113.9981,7.260606709528384
114.0981,7.033468438718302
114.1981,6.695595340916805
114.2981,6.3533976237124445
114.3981,6.0880406418106805
114.4981,5.995369171230102
114.5981,6.117590906995424
114.6981,6.446551902884936
114.7981,6.890577127984901
114.8981,7.3740615810088705
114.9981,7.825165530529908
115.0981,8.217317343946624
115.1981,8.516489768557461
115.2981,8.7073552811244
115.3981,8.775800911186394
115.4981,8.72015876753889
115.5981,8.5435487440711
115.6981,8.283487555126683
115.7981,8.00320259747221
115.8981,7.793659365712165
115.9981,7.734777961529447
116.0981,7.874213649999159
116.1981,8.158616070980703
116.2981,8.52175392734274
116.3981,8.870814149981053
116.4981,9.156754693131235
116.5981,9.340004947006706
116.6981,9.43684861369401
116.7981,9.439403044994155
116.8981,9.370155551824631
116.9981,9.220504021671736
117.0981,9.00681946308788
117.1981,8.715973347386276
117.2981,8.358433401969352
117.3981,7.957624987304165
117.4981,7.56289903760295
117.5981,7.238169138738013
117.6981,7.059172263776405
117.7981,7.025102359566093
117.8981,7.124884103958371
117.9981,7.2772599620721845
118.0981,7.4274531414165565
118.1981,7.533906092503766
118.2981,7.601709571111012
118.3981,7.637011387807396
118.4981,7.67092684631162
118.5981,7.710407782981413
118.6981,7.752317587260153
118.7981,7.7779860489450305
118.8981,7.79769597411144
118.9981,7.788618982367205
119.0981,7.799612319869408
119.1981,7.830434249712082
119.2981,7.921653070428251
119.3981,8.04695750037486
119.4981,8.196024955464562
119.5981,8.308218549246648
119.6981,8.371450801374499
119.7981,8.362777716071896
119.8981,8.355222101254755
119.9981,8.416888211092076
120.0981,8.318920960594513
120.1981,8.000197234435044
120.2981,8.00909238559213
120.3981,8.000318369868838
120.4981,7.944731284223497
120.5981,7.945455537581125
120.6981,7.883277011075348
120.7981,7.824802206699938
120.8981,7.705475307488435
120.9981,7.461208366436402
121.0981,7.375746696828124
121.1981,7.264137194411317
121.2981,7.2971031296033715
121.3981,7.246632840914219
121.4981,7.218057530649439
121.5981,7.176759108500722
121.6981,7.254706649076978
121.7981,7.3524309554765725
121.8981,7.342179011816451
121.9981,7.384495602163765
122.0981,7.344634610548047
122.1981,7.229451376303608
122.2981,6.914712976571765
122.3981,6.795449041316235
122.4981,6.5287981330851395
122.5981,6.290919178445005
122.6981,6.489873815316171
122.7981,6.704777860472751
122.8981,6.789228947791904
122.9981,7.00952975621063
123.0981,7.315496044011324
123.1981,7.395205266256254
123.2981,7.57986025384618
123.3981,7.38102434843262
123.4981,7.22199575429919
123.5981,7.073551897043017
123.6981,6.925298478722091
123.7981,6.663916049388793
123.8981,6.233768715114661
123.9981,6.118236407408398
124.0981,5.741731140914958
124.1981,5.648709744985028
124.2981,5.663744353657818
124.3981,5.850988170901559
124.4981,6.27519164162413
124.5981,6.618808048193243
124.6981,6.884939483204754
124.7981,7.252261798641242
124.8981,7.433386001630165
124.9981,7.675311273614087
125.0981,7.93636469150134
125.1981,8.013741385648398
125.2981,8.222942942111878
125.3981,8.308895555256274
125.4981,8.55338979973384
125.5981,8.749460152989117
125.6981,9.05684514064069
125.7981,9.345264269870302
125.8981,9.22649125457166
125.9981,9.150375257995217
126.0981,9.116214432473456
126.1981,9.030468268332486
126.2981,8.874959959736671
126.3981,8.63205584777458
126.4981,8.321744410584898
126.5981,7.9470444287732045
126.6981,7.561528675218692
126.7981,7.189896844915841
126.8981,6.860250568976799
126.9981,6.573653925723912
127.0981,6.333226899718759
127.1981,6.119579123082204
127.2981,5.938416527456662
127.3981,5.8070994098078454
127.4981,5.788907757964752
127.5981,5.87986155426849
127.6981,6.1117802713579215
127.7981,6.4317473780278265
127.8981,6.809408369677991
127.9981,7.171321268310952
128.0981,7.5188430729733104
128.1981,7.824297659294873
128.2981,8.0928841469293
128.3981,8.303079223694784
128.4981,8.461374268719767
128.5981,8.528186356685675
128.6981,8.495910091405385
128.7981,8.346364620065719
128.8981,8.104008249108793
128.9981,7.799981360843652
129.0981,7.520482172205373
129.1981,7.35957762840178
129.2981,7.393637697364719
129.3981,7.623097444044089
129.4981,7.982525554021986
129.5981,8.37149503321996
129.6981,8.718327923757688
129.7981,8.964352155461098
129.8981,9.094486724970729
129.9981,9.100769235977952
130.0981,8.99595092143621
130.1981,8.77363627570344
130.2981,8.456488722853294
130.3981,8.035508612411213
130.4981,7.532425365971398
130.5981,6.986684124120089
130.6981,6.475206704962807
130.7981,6.093174181651112
130.8981,5.95260823340943
130.9981,6.054627860078373
131.0981,6.325415108269434
131.1981,6.633194077394254
131.2981,6.8675144032457816
131.3981,6.950476029510504
131.4981,6.875193299365776
131.5981,6.644257145108398
131.6981,6.320441616707492
131.7981,5.939204268120259
131.8981,5.65900922088961
131.9981,5.520577068580293
132.0981,5.606583921840162
132.1981,5.889725126838824
132.2981,6.329051235358775
132.3981,6.858642192369909
132.4981,7.4088897228774755
132.5981,7.913973486065365
132.6981,8.334472517032571
132.7981,8.623394686625538
132.8981,8.772257694636952
132.9981,8.781209221847986
133.0981,8.66360660711032
133.1981,8.459747395963774
133.2981,8.231371615254213
133.3981,8.036280683785883
133.4981,7.927575335360898
133.5981,7.912080264214849
133.6981,7.953062307793809
133.7981,8.004438403578778
133.8981,7.992978072584901
133.9981,7.89756438968759
134.0981,7.7075373219513645
134.1981,7.444019734478483
134.2981,7.142353449297715
134.3981,6.841040059079484
134.4981,6.58233736687618
134.5981,6.384174676347615
134.6981,6.261434014835865
134.7981,6.209963967392886
134.8981,6.232663516317032
134.9981,6.313384296801021
135.0981,6.42279485230463
135.1981,6.5203930052622185
135.2981,6.574445350575889
135.3981,6.546363039161379
135.4981,6.427503284665211
135.5981,6.23100777656415
135.6981,6.022000287185605
135.7981,5.8675120303125965
135.8981,5.850158292758408
135.9981,5.9949323243607875
136.0981,6.27736078192028
