Frequency(MHz),Power(dBmV/100kHz)_20260203_091320
107.8981,-82.29
107.9981,-53.3
108.0981,-53.02
108.1981,-55.93
108.2981,-55.18
108.3981,-52.73
108.4981,-51.98
108.5981,-53.02
108.6981,-52.64
108.7981,-53.2
108.8981,-53.67
108.9981,-53.96
109.0981,-53.86
109.1981,-53.39
109.2981,-52.36
109.3981,-54.43
109.4981,-54.62
109.5981,-54.24
109.6981,-53.02
109.7981,-53.11
109.8981,-52.45
109.9981,-52.92
110.0981,-53.11
110.1981,-52.45
110.2981,-53.02
110.3981,-53.67
110.4981,-53.11
110.5981,-52.54
110.6981,-53.2
110.7981,-54.05
110.8981,-53.39
110.9981,-52.73
111.0981,-53.49
111.1981,-52.92
111.2981,-52.26
111.3981,-52.07
111.4981,-51.79
111.5981,-51.04
111.6981,-51.7
111.7981,-51.7
111.8981,-53.2
111.9981,-53.2
112.0981,-52.54
112.1981,-52.83
112.2981,-53.77
112.3981,-53.2
112.4981,-53.2
112.5981,-53.67
112.6981,-53.2
112.7981,-53.67
112.8981,-53.39
112.9981,-52.73
113.0981,-53.2
113.1981,-55.18
113.2981,-53.77
113.3981,-52.92
113.4981,-53.77
113.5981,-53.67
113.6981,-52.45
113.7981,-52.64
113.8981,-53.11
113.9981,-53.11
114.0981,-53.3
114.1981,-54.9
114.2981,-53.02
114.3981,-52.07
114.4981,-51.6
114.5981,-52.73
114.6981,-51.23
114.7981,-51.89
114.8981,-52.45
114.9981,-53.02
115.0981,-54.05
115.1981,-52.26
115.2981,-51.13
115.3981,-50.66
115.4981,-50.19
115.5981,-51.79
115.6981,-53.86
115.7981,-54.33
115.8981,-53.3
115.9981,-51.98
116.0981,-52.64
116.1981,-54.14
116.2981,-54.24
116.3981,-53.02
116.4981,-53.96
116.5981,-55.65
116.6981,-55.09
116.7981,-54.14
116.8981,-54.33
116.9981,-52.64
117.0981,-52.92
117.1981,-51.51
117.2981,-52.17
117.3981,-53.39
117.4981,-52.54
117.5981,-52.07
117.6981,-51.79
117.7981,-51.89
117.8981,-51.89
117.9981,-52.07
118.0981,-50.85
118.1981,-51.23
118.2981,-52.26
118.3981,-52.36
118.4981,-53.11
118.5981,-53.58
118.6981,-53.67
118.7981,-52.45
118.8981,-52.54
118.9981,-54.24
119.0981,-55.09
119.1981,-54.05
119.2981,-53.58
119.3981,-53.86
119.4981,-53.49
119.5981,-53.86
119.6981,-53.77
119.7981,-54.24
119.8981,-54.05
119.9981,-52.54
120.0981,-51.42
120.1981,-52.83
120.2981,-54.14
120.3981,-51.42
120.4981,-52.54
120.5981,-52.73
120.6981,-52.07
120.7981,-51.89
120.8981,-52.17
120.9981,-52.45
121.0981,-52.54
121.1981,-51.98
121.2981,-52.64
121.3981,-53.11
121.4981,-52.26
121.5981,-51.51
121.6981,-53.86
121.7981,-54.52
