Frequency(MHz),Power(dBmV/100kHz)_20260203_084000
107.8981,-82.53
107.9981,-51.66
108.0981,-53.92
108.1981,-54.39
108.2981,-54.67
108.3981,-52.98
108.4981,-53.26
108.5981,-53.45
108.6981,-53.54
108.7981,-53.54
108.8981,-53.64
108.9981,-53.54
109.0981,-52.13
109.1981,-51.85
109.2981,-52.79
109.3981,-54.01
109.4981,-53.45
109.5981,-53.17
109.6981,-53.92
109.7981,-52.79
109.8981,-52.69
109.9981,-53.73
110.0981,-54.01
110.1981,-54.2
110.2981,-54.29
110.3981,-53.35
110.4981,-53.17
110.5981,-53.54
110.6981,-53.45
110.7981,-54.29
110.8981,-53.54
110.9981,-51.75
111.0981,-52.6
111.1981,-51.09
111.2981,-51.47
111.3981,-53.92
111.4981,-55.05
111.5981,-53.35
111.6981,-51.19
111.7981,-51.38
111.8981,-51.28
111.9981,-52.79
112.0981,-54.11
112.1981,-54.77
112.2981,-53.35
112.3981,-52.22
112.4981,-53.07
112.5981,-53.92
112.6981,-53.54
112.7981,-54.48
112.8981,-53.73
112.9981,-51.47
113.0981,-51.09
113.1981,-52.88
113.2981,-56.18
113.3981,-55.05
113.4981,-53.82
113.5981,-52.79
113.6981,-51.75
113.7981,-50.91
113.8981,-51.94
113.9981,-52.98
114.0981,-55.24
114.1981,-55.52
114.2981,-54.2
114.3981,-51.75
114.4981,-51.19
114.5981,-53.45
114.6981,-54.2
114.7981,-54.11
114.8981,-52.79
114.9981,-51.57
115.0981,-51.75
115.1981,-53.26
115.2981,-54.48
115.3981,-53.73
115.4981,-54.58
115.5981,-52.41
115.6981,-51.75
115.7981,-52.6
115.8981,-53.35
115.9981,-54.58
116.0981,-53.73
116.1981,-53.35
116.2981,-53.26
116.3981,-53.07
116.4981,-53.35
116.5981,-54.2
116.6981,-54.29
116.7981,-52.69
116.8981,-51.94
116.9981,-52.04
117.0981,-52.6
117.1981,-52.22
117.2981,-54.48
117.3981,-55.52
117.4981,-54.29
117.5981,-53.07
117.6981,-51.47
117.7981,-51.57
117.8981,-53.07
117.9981,-55.14
118.0981,-55.42
118.1981,-54.86
118.2981,-52.41
118.3981,-51.47
118.4981,-52.22
118.5981,-54.39
118.6981,-54.2
118.7981,-53.17
118.8981,-51.94
118.9981,-51.66
119.0981,-52.22
119.1981,-54.01
119.2981,-55.14
119.3981,-55.71
119.4981,-54.48
119.5981,-50.91
119.6981,-51.94
119.7981,-52.88
119.8981,-53.17
119.9981,-54.29
120.0981,-54.86
120.1981,-52.98
120.2981,-52.79
120.3981,-52.32
120.4981,-52.22
120.5981,-54.48
120.6981,-53.35
120.7981,-52.04
120.8981,-52.04
120.9981,-52.22
121.0981,-52.69
121.1981,-53.64
121.2981,-56.74
121.3981,-56.37
121.4981,-53.17
121.5981,-51.57
121.6981,-52.04
121.7981,-52.6
121.8981,-55.14
121.9981,-54.2
122.0981,-52.98
122.1981,-53.17
122.2981,-53.17
122.3981,-51.94
122.4981,-53.17
122.5981,-53.45
122.6981,-51.75
122.7981,-52.51
122.8981,-53.17
122.9981,-52.69
123.0981,-52.69
123.1981,-54.95
123.2981,-55.42
123.3981,-54.39
123.4981,-52.79
123.5981,-52.69
123.6981,-51.75
123.7981,-51.66
123.8981,-53.54
123.9981,-53.54
124.0981,-52.13
124.1981,-51.19
124.2981,-53.82
124.3981,-54.29
124.4981,-54.48
124.5981,-54.39
124.6981,-52.69
124.7981,-52.32
124.8981,-51.09
124.9981,-51.19
125.0981,-51.66
125.1981,-53.64
125.2981,-55.14
125.3981,-52.88
125.4981,-52.88
125.5981,-53.17
125.6981,-53.07
125.7981,-54.86
125.8981,-54.2
125.9981,-52.88
126.0981,-52.79
126.1981,-52.6
126.2981,-52.13
126.3981,-54.48
126.4981,-55.05
126.5981,-52.79
126.6981,-51.47
126.7981,-51.09
126.8981,-51.0
126.9981,-51.28
127.0981,-52.98
127.1981,-54.29
127.2981,-55.05
127.3981,-52.6
127.4981,-52.69
127.5981,-53.73
127.6981,-53.07
127.7981,-55.24
127.8981,-54.48
127.9981,-52.04
128.0981,-52.88
128.1981,-52.69
128.2981,-53.45
128.3981,-54.67
128.4981,-54.48
128.5981,-53.17
128.6981,-51.47
