Frequency(MHz),Power(dBmV/100kHz)_20260202_204320
107.8981,-82.27
107.9981,-54.22
108.0981,-54.51
108.1981,-53.57
108.2981,-53.09
108.3981,-51.02
108.4981,-50.93
108.5981,-51.97
108.6981,-51.68
108.7981,-51.59
108.8981,-52.25
108.9981,-52.25
109.0981,-53.85
109.1981,-54.41
109.2981,-54.6
109.3981,-55.26
109.4981,-55.35
109.5981,-55.64
109.6981,-54.41
109.7981,-52.91
109.8981,-53.75
109.9981,-52.44
110.0981,-52.91
110.1981,-53.47
110.2981,-52.62
110.3981,-52.91
110.4981,-54.13
110.5981,-55.64
110.6981,-56.01
110.7981,-54.79
110.8981,-55.82
110.9981,-55.82
111.0981,-54.13
111.1981,-52.62
111.2981,-52.53
111.3981,-52.62
111.4981,-52.81
111.5981,-53.19
111.6981,-53.0
111.7981,-51.68
111.8981,-51.4
111.9981,-52.34
112.0981,-52.62
112.1981,-52.91
112.2981,-53.28
112.3981,-54.04
112.4981,-53.85
112.5981,-52.72
112.6981,-52.81
112.7981,-53.0
112.8981,-52.91
112.9981,-52.06
113.0981,-52.06
113.1981,-51.21
113.2981,-51.02
113.3981,-52.15
113.4981,-52.53
113.5981,-51.31
113.6981,-53.19
113.7981,-54.22
113.8981,-55.26
113.9981,-55.17
114.0981,-53.94
114.1981,-52.81
114.2981,-54.22
114.3981,-54.32
114.4981,-54.22
114.5981,-53.0
114.6981,-54.51
114.7981,-55.07
114.8981,-54.51
114.9981,-53.94
115.0981,-53.85
115.1981,-55.45
115.2981,-53.09
115.3981,-53.19
115.4981,-53.09
115.5981,-53.94
115.6981,-54.51
115.7981,-53.28
115.8981,-51.97
115.9981,-52.62
116.0981,-53.38
116.1981,-53.57
116.2981,-53.28
116.3981,-53.94
116.4981,-52.25
116.5981,-52.81
116.6981,-53.09
116.7981,-52.06
116.8981,-53.0
116.9981,-51.97
117.0981,-52.34
117.1981,-54.51
117.2981,-54.04
117.3981,-53.47
117.4981,-54.13
117.5981,-54.04
117.6981,-53.57
117.7981,-53.38
117.8981,-53.47
117.9981,-53.09
118.0981,-52.81
118.1981,-53.75
118.2981,-54.79
118.3981,-54.32
118.4981,-53.09
118.5981,-52.81
118.6981,-52.15
118.7981,-52.34
118.8981,-52.25
118.9981,-53.94
119.0981,-55.45
119.1981,-53.75
119.2981,-53.94
119.3981,-53.57
119.4981,-53.0
119.5981,-52.44
119.6981,-51.68
119.7981,-52.72
119.8981,-52.53
119.9981,-53.57
120.0981,-54.13
120.1981,-53.38
120.2981,-52.72
120.3981,-52.81
120.4981,-53.85
120.5981,-53.47
120.6981,-52.53
120.7981,-52.91
120.8981,-53.57
120.9981,-54.04
121.0981,-52.72
121.1981,-52.44
121.2981,-51.21
121.3981,-51.31
121.4981,-51.12
121.5981,-49.71
121.6981,-50.55
121.7981,-51.97
121.8981,-50.65
121.9981,-51.68
122.0981,-53.28
122.1981,-55.26
122.2981,-55.26
122.3981,-56.11
122.4981,-56.39
122.5981,-54.79
122.6981,-52.91
122.7981,-52.25
122.8981,-51.87
122.9981,-51.59
123.0981,-53.19
123.1981,-52.44
123.2981,-52.62
123.3981,-53.38
123.4981,-53.19
123.5981,-53.47
123.6981,-54.22
123.7981,-54.41
123.8981,-53.94
123.9981,-54.88
124.0981,-55.35
124.1981,-54.98
124.2981,-51.97
124.3981,-51.12
124.4981,-51.87
124.5981,-52.25
124.6981,-51.59
124.7981,-50.65
124.8981,-49.61
124.9981,-50.84
125.0981,-52.53
125.1981,-52.53
125.2981,-53.09
125.3981,-54.13
125.4981,-56.86
125.5981,-55.54
125.6981,-53.66
125.7981,-52.72
125.8981,-53.57
125.9981,-54.13
126.0981,-53.19
126.1981,-51.78
126.2981,-52.06
126.3981,-52.53
126.4981,-53.66
126.5981,-55.26
126.6981,-54.79
126.7981,-54.22
126.8981,-54.6
126.9981,-55.07
127.0981,-53.38
127.1981,-52.91
127.2981,-54.04
127.3981,-54.32
127.4981,-53.38
127.5981,-53.94
127.6981,-54.13
127.7981,-51.68
127.8981,-52.34
127.9981,-53.28
128.0981,-53.09
128.1981,-53.66
128.2981,-54.51
128.3981,-54.98
128.4981,-55.07
128.5981,-54.6
128.6981,-55.64
128.7981,-54.13
128.8981,-52.72
128.9981,-52.91
129.0981,-53.66
129.1981,-52.81
129.2981,-51.97
129.3981,-51.4
129.4981,-51.02
129.5981,-52.53
129.6981,-53.94
129.7981,-54.04
129.8981,-54.98
129.9981,-53.47
130.0981,-53.09
130.1981,-53.57
130.2981,-54.22
130.3981,-54.88
130.4981,-55.73
130.5981,-54.69
130.6981,-53.28
130.7981,-52.72
130.8981,-53.0
130.9981,-53.19
131.0981,-53.0
131.1981,-54.98
131.2981,-53.47
131.3981,-52.72
131.4981,-53.57
131.5981,-54.79
131.6981,-54.98
131.7981,-53.28
131.8981,-54.13
131.9981,-54.88
132.0981,-54.51
132.1981,-54.51
132.2981,-54.22
132.3981,-52.34
132.4981,-51.87
132.5981,-51.87
132.6981,-53.47
132.7981,-52.44
132.8981,-52.34
132.9981,-51.31
133.0981,-53.47
133.1981,-54.32
133.2981,-52.34
133.3981,-53.57
133.4981,-54.41
133.5981,-53.94
133.6981,-53.57
133.7981,-55.64
133.8981,-54.98
133.9981,-54.22
134.0981,-53.09
134.1981,-53.57
134.2981,-53.85
134.3981,-51.21
134.4981,-51.87
134.5981,-54.6
134.6981,-53.57
134.7981,-53.47
134.8981,-54.13
134.9981,-54.6
135.0981,-54.51
135.1981,-55.26
135.2981,-55.92
135.3981,-55.64
135.4981,-53.85
135.5981,-52.91
135.6981,-53.19
135.7981,-52.53
135.8981,-51.68
135.9981,-52.81
136.0981,-54.13
136.1981,-53.57
136.2981,-53.47
136.3981,-55.07
136.4981,-55.17
136.5981,-54.41
136.6981,-54.13
136.7981,-56.39
136.8981,-55.45
136.9981,-55.07
137.0981,-56.77
137.1981,-55.73
137.2981,-53.0
137.3981,-52.53
137.4981,-53.09
137.5981,-53.0
137.6981,-51.02
137.7981,-51.97
137.8981,-52.25
137.9981,-52.34
138.0981,-54.69
138.1981,-54.6
138.2981,-54.88
138.3981,-54.98
138.4981,-54.98
138.5981,-53.47
138.6981,-53.85
138.7981,-53.94
138.8981,-54.04
138.9981,-53.75
139.0981,-52.81
139.1981,-52.62
139.2981,-52.72
139.3981,-53.28
139.4981,-53.75
139.5981,-55.26
139.6981,-55.17
139.7981,-54.98
139.8981,-53.47
139.9981,-53.85
140.0981,-54.32
140.1981,-54.98
140.2981,-54.88
140.3981,-53.57
140.4981,-53.57
140.5981,-54.41
140.6981,-53.38
140.7981,-52.91
140.8981,-53.28
140.9981,-51.97
141.0981,-51.59
141.1981,-52.44
141.2981,-54.41
141.3981,-54.6
141.4981,-54.13
141.5981,-55.26
141.6981,-55.17
141.7981,-54.88
141.8981,-53.57
141.9981,-53.09
142.0981,-54.6
142.1981,-55.17
142.2981,-54.13
142.3981,-53.09
142.4981,-52.91
142.5981,-52.53
142.6981,-53.85
142.7981,-53.66
142.8981,-55.82
142.9981,-56.01
143.0981,-53.94
143.1981,-54.41
143.2981,-55.45
143.3981,-54.13
143.4981,-54.13
143.5981,-53.94
143.6981,-54.04
143.7981,-53.47
143.8981,-53.85
143.9981,-53.28
144.0981,-52.72
144.1981,-52.81
144.2981,-53.85
144.3981,-54.69
144.4981,-55.45
144.5981,-54.6
144.6981,-54.88
144.7981,-55.64
144.8981,-56.11
144.9981,-55.64
145.0981,-55.54
145.1981,-55.26
145.2981,-52.81
145.3981,-52.15
145.4981,-52.72
145.5981,-52.53
145.6981,-52.62
145.7981,-53.28
145.8981,-52.72
145.9981,-52.34
146.0981,-53.57
146.1981,-55.64
146.2981,-56.77
146.3981,-55.26
146.4981,-54.32
146.5981,-54.6
146.6981,-55.45
146.7981,-54.69
146.8981,-54.51
146.9981,-54.13
147.0981,-53.19
147.1981,-52.81
147.2981,-53.19
147.3981,-53.94
147.4981,-54.41
147.5981,-53.47
147.6981,-51.4
147.7981,-53.19
147.8981,-55.45
147.9981,-55.92
148.0981,-55.64
148.1981,-53.66
148.2981,-53.38
148.3981,-53.57
148.4981,-54.41
148.5981,-55.45
148.6981,-54.04
148.7981,-52.34
148.8981,-53.47
148.9981,-52.44
149.0981,-51.87
149.1981,-51.97
149.2981,-52.15
149.3981,-52.44
149.4981,-54.22
149.5981,-55.45
149.6981,-55.54
149.7981,-55.73
149.8981,-56.01
149.9981,-54.6
150.0981,-55.07
150.1981,-55.35
150.2981,-53.66
150.3981,-52.34
150.4981,-53.0
150.5981,-52.72
150.6981,-53.19
150.7981,-54.88
150.8981,-53.75
150.9981,-54.32
151.0981,-54.41
151.1981,-55.26
151.2981,-56.01
151.3981,-55.45
151.4981,-54.51
151.5981,-52.06
151.6981,-52.53
151.7981,-52.06
151.8981,-52.34
151.9981,-53.57
152.0981,-52.62
152.1981,-52.15
152.2981,-53.38
152.3981,-54.88
152.4981,-53.19
