Frequency(MHz),Power(dBmV/100kHz)_20260203_093443
107.8981,-82.41
107.9981,-52.19
108.0981,-51.25
108.1981,-50.41
108.2981,-51.44
108.3981,-53.23
108.4981,-52.57
108.5981,-50.88
108.6981,-51.63
108.7981,-51.91
108.8981,-51.82
108.9981,-50.12
109.0981,-50.31
109.1981,-50.88
109.2981,-50.69
109.3981,-51.25
109.4981,-51.25
109.5981,-51.07
109.6981,-50.22
109.7981,-51.44
109.8981,-52.1
109.9981,-52.67
110.0981,-51.25
110.1981,-50.88
110.2981,-52.76
110.3981,-52.67
110.4981,-50.97
110.5981,-50.88
110.6981,-52.01
110.7981,-51.07
110.8981,-51.25
110.9981,-52.38
111.0981,-52.67
111.1981,-52.01
111.2981,-52.01
111.3981,-50.5
111.4981,-50.41
111.5981,-50.59
111.6981,-50.5
111.7981,-51.07
111.8981,-51.16
111.9981,-50.78
112.0981,-50.78
112.1981,-49.94
112.2981,-50.12
112.3981,-51.16
112.4981,-50.5
112.5981,-49.75
112.6981,-50.97
112.7981,-51.82
112.8981,-51.72
112.9981,-50.31
113.0981,-50.69
113.1981,-51.07
113.2981,-51.82
113.3981,-53.14
113.4981,-51.63
113.5981,-51.91
113.6981,-51.72
113.7981,-51.82
113.8981,-50.88
113.9981,-51.16
114.0981,-51.54
114.1981,-50.5
114.2981,-51.07
114.3981,-51.63
114.4981,-51.44
114.5981,-50.78
114.6981,-50.97
114.7981,-50.78
114.8981,-50.12
114.9981,-50.31
115.0981,-52.01
115.1981,-51.07
115.2981,-50.41
115.3981,-51.72
115.4981,-49.65
115.5981,-50.12
115.6981,-51.72
115.7981,-52.01
115.8981,-51.25
115.9981,-51.54
116.0981,-52.76
116.1981,-50.22
116.2981,-49.47
116.3981,-50.5
116.4981,-50.69
116.5981,-50.12
116.6981,-50.5
116.7981,-50.03
116.8981,-50.97
116.9981,-50.12
117.0981,-50.69
117.1981,-53.04
117.2981,-51.63
117.3981,-51.25
117.4981,-51.16
117.5981,-51.44
117.6981,-51.82
117.7981,-51.25
117.8981,-52.76
117.9981,-52.76
118.0981,-50.78
118.1981,-50.69
118.2981,-50.59
118.3981,-50.78
118.4981,-52.29
118.5981,-51.82
118.6981,-51.07
118.7981,-51.54
118.8981,-50.69
118.9981,-49.28
119.0981,-50.12
119.1981,-50.59
119.2981,-50.97
119.3981,-51.54
119.4981,-51.54
