Distance(ft),ch0_dB_20260203_091320,ch1_dB_20260203_091320,ch2_dB_20260203_091320,ch3_dB_20260203_091320,ch4_dB_20260203_091320,ch5_dB_20260203_091320
-85.0336273832636,-45.989490956165625,-38.664576220479745,-41.030302707839,-68.13347661026108,-39.7339783953707,1.3175403085172321
-80.55817331046026,-45.690920410699846,-38.14690171305082,-40.40490729837341,-64.32200167005888,-39.31132990612768,-6.335054511466315
-76.08271923765692,-45.036527572830664,-37.35999621764765,-39.92620179909378,-62.483920998483356,-38.791772549260585,-11.817366483880186
-71.60726516485356,-44.40857106612965,-37.29669958626311,-39.422136184592844,-60.57132239632929,-38.17449878826664,-11.901046166218833
-67.13181109205021,-43.7879678287965,-36.05083971730753,-38.86719428454134,-58.82837325815864,-37.582025793489954,-12.788995080863794
-62.65635701924687,-43.05659193576301,-35.89081566732883,-38.27032749721018,-57.118299012798616,-36.91308042600025,-17.439201355735594
-58.180902946443524,-42.29566026375614,-35.04887518946327,-37.63540652164302,-55.48262469617097,-36.20239083037126,-18.485955315305464
-53.70544887364018,-41.441564084675605,-33.90433408529444,-36.95826319161155,-53.74889344668262,-35.44824411315286,-22.25957091052715
-49.22999480083683,-40.58466015314088,-33.93946437059084,-36.18139351620686,-52.0659684016355,-34.625780970948185,-25.974227513970078
-44.75454072803348,-39.60337114439944,-31.98594620569314,-35.337538815053364,-50.33005075942171,-33.69099460139926,-26.385661013097703
-40.27908665523014,-38.554999363551694,-31.830840529503057,-34.41612828725527,-48.61870178173382,-32.69646219765121,-27.37990820258744
-35.80363258242678,-37.362087456855704,-30.313053690797453,-33.35718646183084,-46.726739404663256,-31.560064066840603,-28.453950047830475
-31.328178509623434,-36.034939279062826,-28.820265261787284,-32.15496181497274,-44.725684290055874,-30.28198030338812,4.540614603124939
-26.852724436820097,-34.50780502162367,-28.074631764891404,-30.749955568233315,-42.54738257686144,-28.784666315083186,-3.994111201524915
-22.377270364016745,-32.716117893721545,-25.44093586861612,-29.071436544862202,-40.06557530968909,-27.013072139110747,-9.80143949226566
-17.901816291213407,-30.525672441392985,-24.0252169784642,-26.99204144108419,-37.15179169884974,-24.821794704410397,-12.982122097206837
-13.426362218410048,-27.685094968026583,-20.860034993925588,-24.252098724515115,-33.465832733705334,-21.949825468145043,-16.13264548720811
-8.950908145606704,-23.594097509993848,-16.882341195995405,-20.224475015977617,-28.19918732016354,-17.726552110858172,-18.61205801994129
-4.475454072803359,-15.815552193473799,-9.564272846556598,-12.368381014611519,-17.78562632753761,-9.497601113427868,-21.96967426118232
0.0,4.540614603124939,-0.005263064186838596,-3.622542831404556,-6.693364873788336,0.6028246167816178,-23.697476508725384
4.4754540728033305,-20.53916602454722,-13.605824535723244,-17.435528272101124,-24.576093522468838,-14.368809180657411,-27.221077186690785
8.95090814560669,-22.94553860037518,-19.625806803846086,-23.330166768867784,-36.70504942764269,-19.38635035127192,-29.636383489272333
13.426362218410048,-26.036785504822817,-20.630636642387593,-25.23248599405497,-30.445655417204204,-23.28610104383155,-29.64376739988651
17.90181629121338,-27.779449858536047,-23.954011614500935,-25.62487948770816,-27.182951150238775,-25.218821616585313,-30.804087283537203
22.377270364016738,-27.48051897141187,-21.637045571950175,-28.703730187860895,-32.79152288521196,-28.350925517864482,1.3175403085172321
26.852724436820083,-34.379612986908946,-25.122676665811827,-36.30176137771461,-34.582263130326155,-27.890523719404637,-6.335054511466315
31.328178509623413,-33.00008139118654,-27.112726704825892,-28.753796703147,-32.49803645728305,-28.206441781896384,-11.817366483880186
35.80363258242677,-32.90998977749039,-27.364030235623325,-32.557699925169274,-35.43150658372439,-27.10359333668707,-11.901046166218833
40.27908665523012,-35.91271078771025,-29.73001464958638,-31.41221383523748,-34.43898687838669,-29.79112130607257,-12.788995080863794
44.75454072803343,-36.88156837390746,-29.448298435232513,-42.044862841349754,-33.94758145114118,-34.27720181478536,-17.439201355735594
49.22999480083679,-32.629304044512665,-30.381645965003212,-33.79466814448483,-37.775955939263554,-33.88190705217125,-18.485955315305464
53.70544887364015,-36.54943534385046,-32.48112160215723,-32.913282779285055,-42.12827743122549,-28.87285924806698,-22.25957091052715
58.18090294644351,-34.37323305265211,-30.8842386331915,-31.680481009980287,-37.68376631626879,-33.05406014496648,-25.974227513970078
62.65635701924687,-33.555264671933955,-30.549701488516238,-40.90646405088996,-30.960024271861727,-27.760865267888335,-26.385661013097703
67.1318110920502,-34.957983332933914,-34.0864227683663,-39.46860259658149,-43.40948977560924,-36.50761981198085,-27.37990820258744
71.60726516485356,-32.94400627088207,-30.15474438403084,-32.920940570207435,-33.1234482439333,-36.52740323555357,-28.453950047830475
76.08271923765689,-35.223415763138256,-33.79681018508943,-39.971005478357796,-33.352507433899945,-29.97787863173571,4.540614603124939
80.55817331046025,-33.86471343873805,-31.977804410431688,-32.053671883272685,-38.906734549031825,-32.17285691236458,-3.994111201524915
85.0336273832636,-41.24476425145592,-30.549319918648447,-32.49175285894489,-47.56706774035717,-35.2356407870644,-9.80143949226566
89.50908145606694,-36.382218961297816,-29.367724599815595,-31.951519565562364,-29.344712176263016,-33.23429063762212,-12.982122097206837
93.98453552887027,-33.63469315959953,-30.091127607992476,-32.64504957179037,-32.8901893686123,-37.26615231363125,-16.13264548720811
98.45998960167363,-32.95130821998246,-26.27185074486035,-29.405730705908706,-40.84137625821812,-31.873074531266077,-18.61205801994129
102.93544367447699,-29.636383489272333,-27.735524533612647,-29.359459608202464,-27.94090125276863,-31.24672593995178,-21.96967426118232
107.41089774728032,-32.75915134629497,-33.07015140371051,-30.575060148145134,-34.8788925151382,-24.890035964644845,-23.697476508725384
111.8863518200837,-42.027366292759964,-34.63643743479107,-27.726937237680296,-28.46161717021568,-28.031453466054078,-27.221077186690785
116.36180589288703,-30.667874590551598,-28.98167201614536,-28.312869321430863,-35.02860913680819,-25.409512680334903,-29.636383489272333
120.83725996569036,-24.961945441005593,-24.778576900859438,-29.72574950534359,-23.39834817073484,-20.46389263589942,-29.64376739988651
125.31271403849372,-20.22716239249611,-17.825692490700874,-20.230397421282547,-18.827511501550525,-10.80890564345848,-30.804087283537203
129.78816811129707,-9.80143949226566,-11.889965849522333,-18.80553379171528,-10.826981186371874,-3.9536715800673843,-0.005263064186838596
134.26362218410043,-24.06894334599555,-23.847917341588833,-37.853622137386125,-21.30036658430027,-13.769939012171267,-3.64947957563746
138.7390762569038,-23.858004818059676,-25.44528584869774,-26.906229635157164,-21.39700277976153,-15.978748411207429,-11.889965849522333
143.2145303297071,-23.293145269002096,-20.889857184555748,-23.18385121739408,-19.558785745548626,-15.562694626740882,-13.911603508422683
147.68998440251045,-19.287463206916414,-16.25638079989567,-18.051550169309177,-16.013508900925228,-12.425610072754536,-16.63632407427071
152.1654384753138,-3.994111201524915,-3.64947957563746,-4.0523637756958895,-4.972927263703012,-4.401380413215198,-21.637045571950175
