Distance(ft),ch0_dB_20260203_084000,ch1_dB_20260203_084000,ch2_dB_20260203_084000,ch3_dB_20260203_084000,ch4_dB_20260203_084000,ch5_dB_20260203_084000
-85.0336273832636,-41.334507123077664,-50.420523808902935,-38.67902188144706,-49.58376303698843,-36.76117015216813,5.883925369483279
-80.55817331046026,-40.81436159198857,-49.636462201498865,-38.308622195487786,-48.26652038879054,-36.20201491217732,-4.002725966975593
-76.08271923765692,-40.47434556532068,-49.10516031070923,-37.85621064021691,-48.76785364897739,-35.73666902079281,-13.43351525087961
-71.60726516485356,-40.07298516156798,-48.495221860813686,-37.34219747966003,-47.67297378147983,-35.23430282095586,-25.298418906873312
-67.13181109205021,-39.674575370717214,-47.85838821725571,-36.80537073925709,-46.21723217730451,-34.69796147928631,-26.719833223139673
-62.65635701924687,-39.189451525096416,-47.14513846092947,-36.24489488907727,-47.24656712274087,-34.12181128316897,-33.339944024271084
-58.180902946443524,-38.673239025764296,-46.4563172351362,-35.609234620801246,-45.39987894423496,-33.51059396557686,-35.32030711925483
-53.70544887364018,-38.13506210350531,-45.64274718342033,-34.937864345592764,-43.94048361960518,-32.84649893217535,-38.04073512483827
-49.22999480083683,-37.53662326840601,-44.78476461981749,-34.193736220469425,-45.27025809395052,-32.12209419783492,-38.05610688651111
-44.75454072803348,-36.86684254337228,-43.81539700879678,-33.393922586170326,-42.77024781433241,-31.33588334778789,-38.670650690543724
-40.27908665523014,-36.11256999407084,-42.78182236217505,-32.49160897663678,-41.2789427751255,-30.445951100612852,-39.30148144955226
-35.80363258242678,-35.263625814864476,-41.553590056361706,-31.489400868394384,-42.37888853343435,-29.464988088750324,-39.98274274939035
-31.328178509623434,-34.267370737922036,-40.25067454591198,-30.3563372324173,-39.30712024827964,-28.34204583315013,1.515232149899425
-26.852724436820097,-33.097413678110634,-38.644171215608175,-29.04409419036532,-37.73600646064719,-27.050916169089003,0.45173186637090956
-22.377270364016745,-31.67686782459842,-36.83131111156107,-27.487776963435017,-37.734161180270476,-25.514250516617526,-17.198796136609904
-17.901816291213407,-29.90138991799742,-34.578639216522525,-25.573823700424786,-34.23756880085858,-23.63305122635284,-33.18759340831113
-13.426362218410048,-27.56213584403426,-31.679655983503324,-23.10096825711554,-31.72640817231704,-21.19931879098775,-33.68112546982577
-8.950908145606704,-24.10066239196421,-27.421756497838736,-19.5816519017307,-28.81180192764245,-17.738393329565948,-33.969539227838325
-4.475454072803359,-17.577800850627266,-19.216527658177558,-13.283728237648443,-22.05406807954905,-11.691004828345546,-34.09129130918355
0.0,0.45173186637090956,5.083125051993729,1.1540745157600887,-3.5171887827739328,-3.6170861993393366,-34.201895626475725
4.4754540728033305,-13.268063867245033,-14.413836610387133,-13.36761711002455,-20.544411548642053,-9.717290045485866,-35.507372502332316
8.95090814560669,-23.57943003597216,-24.087361209742433,-19.416453230691996,-31.842431055638578,-18.414192623681593,-35.957511320276126
13.426362218410048,-28.533319929487956,-31.353198479716443,-20.257294826022388,-26.72955953280582,-18.524489333500252,-36.00553380524431
