Distance(ft),ch0_dB_20260202_204320,ch1_dB_20260202_204320,ch2_dB_20260202_204320,ch3_dB_20260202_204320,ch4_dB_20260202_204320,ch5_dB_20260202_204320
-85.0336273832636,-33.11202711021951,-40.73364910474303,-49.921448028295345,-39.00166583416188,-38.02104403710654,5.6735555894690615
-80.55817331046026,-32.60110043477661,-40.231917977251314,-47.814475877170594,-38.667928535280026,-37.583232066651995,-8.627587591558136
-76.08271923765692,-32.08475687595274,-40.42138274434837,-47.59546457516101,-38.215064491783785,-37.152504673995786,-12.827964888648493
-71.60726516485356,-31.563291389091255,-39.879601016223944,-49.4428565767754,-37.74052229727922,-36.694918229432766,-17.287363829367248
-67.13181109205021,-30.999467227939896,-38.50844220279429,-48.9588550051011,-37.24758453047485,-36.21309208497205,-19.915331006477743
-62.65635701924687,-30.40108742338567,-38.20982855561415,-45.89014248009914,-36.725207811883976,-35.69896385199207,-21.132810120503866
-58.180902946443524,-29.745011030587246,-38.636499480473965,-45.422163932738535,-36.14581645392985,-35.153540869499025,-21.84133376123993
-53.70544887364018,-29.05244873256408,-37.418612674838336,-46.27472045464384,-35.52210217132389,-34.547375555694614,-21.85536491141721
-49.22999480083683,-28.288380565695483,-36.093009689498025,-43.55711606846147,-34.847536155471445,-33.89325539391142,-26.678432283996734
-44.75454072803348,-27.45583804218288,-36.34937645247685,-41.36759352937112,-34.094651034300156,-33.158777522419605,-28.608985538337755
-40.27908665523014,-26.537316078104816,-35.7792850252908,-41.559144235972326,-33.2518749729292,-32.368233660765526,-30.172878557578127
-35.80363258242678,-25.511733388115708,-33.60646301655582,-40.39430101668704,-32.30560849151614,-31.46208691029424,-31.513478501074218
-31.328178509623434,-24.348905674630885,-32.89102069884358,-37.36005180153614,-31.221835083279714,-30.420512222652413,-4.959785634638038
-26.852724436820097,-23.014068811861254,-32.75822548891505,-36.186974754804055,-29.955474734218427,-29.214326997679173,-7.847558883272004
-22.377270364016745,-21.440240867429424,-30.122534718329334,-35.146789596831574,-28.434598047546956,-27.759858822123938,-14.457374283113154
-17.901816291213407,-19.518908190690468,-27.759024092226774,-31.372520133326134,-26.516885642365416,-25.945151214859273,-16.05736268759529
-13.426362218410048,-17.05089645969289,-26.643245933312162,-28.038418917899847,-23.970065035113784,-23.52228089942312,-16.984943912985383
-8.950908145606704,-13.573310880200115,-22.508763324414684,-24.538258051545952,-20.17182778129794,-19.87947072308994,-22.73358314037271
-4.475454072803359,-7.479050133666968,-13.501529161183925,-15.222235515312532,-12.685911995544343,-12.435298823615932,-23.452617452641213
0.0,-4.959785634638038,4.225348729067274,-0.22626191501515527,-0.06484766972910191,2.748872401076845,-24.415252404969458
4.4754540728033305,-6.839330795856403,-18.03748635046376,-18.785145098959603,-11.298354068384393,-14.642106617919504,-28.780304334188003
8.95090814560669,-12.57646893835374,-26.060447124515225,-23.788397952203827,-21.37759545110695,-18.018866082285093,-28.90828255371803
13.426362218410048,-15.978615191115788,-31.86337274395548,-31.106364960255494,-26.331143076116543,-23.761559971250016,-28.99466384321397
17.90181629121338,-18.847190512844357,-37.44867508363074,-29.83333041770615,-28.494940151509,-26.163610187703597,-29.680382154674817
22.377270364016738,-20.809176890391896,-39.93872870167837,-33.40495970963628,-32.71919132460735,-29.446291080217634,5.6735555894690615
26.852724436820083,-22.25452943984811,-37.284660225329525,-30.51747022814228,-36.99706005320656,-31.42245059114149,-8.627587591558136
31.328178509623413,-23.478819480797203,-39.38834839009374,-34.57428088088145,-42.410706208295004,-35.53134036695195,-12.827964888648493
35.80363258242677,-23.997386861747852,-39.99005292997523,-31.567882764269793,-34.888704504034216,-35.55450164017703,-17.287363829367248
40.27908665523012,-25.680056614993816,-40.73062056750509,-38.12406087115032,-35.189160665094875,-36.9778740278199,-19.915331006477743
44.75454072803343,-26.186027496825854,-43.95174189428054,-33.86278038734651,-36.53939019640278,-40.64046351196343,-21.132810120503866
49.22999480083679,-26.46185764951519,-36.5654739459994,-32.18913035014144,-34.51779953887649,-43.04802453033031,-21.84133376123993
53.70544887364015,-28.066162582220983,-45.93816279098374,-40.113086401968374,-35.91750829659243,-34.43089181990112,-21.85536491141721
58.18090294644351,-29.881246464034405,-42.839567554960354,-38.79966442435758,-36.85081814083113,-33.698824871430524,-26.678432283996734
62.65635701924687,-29.96858981263792,-41.525890668214,-39.424842847251064,-39.98877461140446,-34.79334172365938,-28.608985538337755
67.1318110920502,-30.57761724376908,-35.08204296521731,-56.730019623873076,-33.95684446760339,-29.12944252292999,-30.172878557578127
71.60726516485356,-23.452617452641213,-28.11547200634589,-22.775339167449033,-25.67361111213276,-27.621308404467314,-31.513478501074218
76.08271923765689,-27.56958785630424,-58.51150410473197,-29.804404278343796,-29.560888902485765,-51.25310648266474,-4.959785634638038
80.55817331046025,-28.031998636454535,-47.90564712379036,-30.488632936737147,-29.81202079906182,-38.26368333443127,-7.847558883272004
85.0336273832636,-26.787271308919266,-36.35771627187811,-28.544493325765234,-29.732500051906836,-36.253341302669355,-14.457374283113154
89.50908145606694,-25.459342751498877,-30.511787674384237,-27.155455074004582,-28.230339082869232,-29.369522838396463,-16.05736268759529
93.98453552887027,-22.65783476255227,-26.72388667662532,-23.078203363653675,-22.710310328762763,-25.342280592496,-16.984943912985383
98.45998960167363,-16.05736268759529,-16.921664979167726,-14.260592138709569,-13.221040909398168,-15.164321936571339,-22.73358314037271
102.93544367447699,-29.16626375948836,-20.18196906094132,-23.963867410334167,-24.889314758324815,-17.029369746781494,-23.452617452641213
107.41089774728032,-16.984943912985383,-16.20181845436528,-24.576819354499268,-17.32726481917894,-17.17452600721733,-24.415252404969458
111.8863518200837,-24.07759239992459,-24.87346791484331,-30.955785787993722,-24.6155778042814,-24.46161937351501,-28.780304334188003
