Distance(ft),ch0_dB_20260203_064235,ch1_dB_20260203_064235,ch2_dB_20260203_064235,ch3_dB_20260203_064235,ch4_dB_20260203_064235,ch5_dB_20260203_064235
-85.0336273832636,-38.95955782830462,-39.00667365550346,-42.721789987742554,-48.12027662627433,-36.07962055885521,7.179317507121751
-80.55817331046026,-38.51019654580865,-38.48278419325299,-41.86638926065852,-47.903515373426075,-35.546231878586035,-0.8509471354938342
-76.08271923765692,-37.99811270680621,-38.34997250844446,-41.245776540245814,-47.253827119801734,-35.06903609159884,-6.92507646444708
-71.60726516485356,-37.49463351604129,-37.91105745911477,-41.19459607985809,-46.55903820356164,-34.554379942569334,-7.924741410622387
-67.13181109205021,-36.9409603665219,-36.96238530476604,-41.064973852355315,-45.84031294249517,-34.00575505515308,-24.328407527945192
-62.65635701924687,-36.34399258287879,-36.411899705383085,-39.97234956244582,-45.09998018382145,-33.40995234437247,-25.697503284905977
-58.180902946443524,-35.708305366511865,-36.09663823867943,-38.88324920567867,-44.269113843929006,-32.78037278222605,-28.458455459997136
-53.70544887364018,-35.04122684343816,-35.00388535509389,-38.53651972506631,-43.4206193724384,-32.08812186417747,-28.658537808075657
-49.22999480083683,-34.28208434454521,-33.95258016437448,-38.095158238815735,-42.48752858407794,-31.34498142662455,-28.66731153430886
-44.75454072803348,-33.46882211763785,-33.53997042677126,-37.021938467433856,-41.43839832192515,-30.523221783952827,-29.934633423622564
-40.27908665523014,-32.560919596640645,-32.6306984358232,-36.14208487239853,-40.30796884887888,-29.613081457041808,-30.343136428355084
-35.80363258242678,-31.56926734724616,-31.07795865230202,-35.46745524756026,-39.040293456632206,-28.586493316395426,-31.254259092857225
-31.328178509623434,-30.429814519729277,-30.11463598861478,-34.13230076889876,-37.648219866955515,-27.41645478071532,7.53862457339899
-26.852724436820097,-29.133908333132474,-29.15591482226215,-32.63268480238421,-36.0279596131226,-26.05770314779042,-4.334921702745205
-22.377270364016745,-27.602700903258825,-27.072174385734908,-31.366934311364417,-34.122787675602325,-24.440639971247368,-8.973164719360266
-17.901816291213407,-25.75637990548616,-24.92000146051788,-29.326664518173203,-31.785156273848976,-22.42967870797132,-15.352158340231515
-13.426362218410048,-23.411391702844874,-22.803452175089163,-26.42542231032504,-28.727354889195333,-19.796822431106676,-19.598598089738108
-8.950908145606704,-20.19474174106776,-18.860383373067744,-22.770019173825492,-24.273625786691984,-15.958965937361164,-27.13747519336338
-4.475454072803359,-14.88275103191259,-11.650071186969981,-15.268604025845248,-15.72277243480382,-8.774628236163997,-29.653864915149466
0.0,7.53862457339899,-0.9105368178417941,-11.488083647582492,-1.783275467014507,-3.4266523045376966,-30.860736302144108
4.4754540728033305,-9.80772794366818,-13.148542750932247,-18.805949546895107,-27.44309292587708,-12.24751483286333,-31.283246156859246
8.95090814560669,-17.14416606395573,-19.6745002623907,-22.995941147457778,-26.18279212995866,-18.096188796206377,-32.09107075770554
13.426362218410048,-21.060656817749027,-22.73412076840939,-28.734338203324295,-29.2799646150078,-20.888177899005683,-32.128287956956775
17.90181629121338,-23.27996964708264,-26.531306768532698,-28.599664783591447,-33.69039227497445,-23.76955195192943,-32.14065718885952
22.377270364016738,-25.893106198500288,-25.960676684715956,-31.469004863690984,-34.3723728699418,-24.8553487114021,7.179317507121751
26.852724436820083,-27.960378185718724,-29.11928605268342,-35.64672694412005,-35.20518626011258,-26.37282081570223,-0.8509471354938342
31.328178509623413,-28.92687229949585,-28.74018400545584,-35.05405525945026,-36.41872416296288,-28.643889011835256,-6.92507646444708
35.80363258242677,-29.072435879202008,-30.745056220064114,-37.738156266610986,-35.271386003112525,-29.514260638880128,-7.924741410622387
40.27908665523012,-30.855350123716207,-30.631363345635236,-36.91107338886012,-40.0069309027927,-32.21586598077129,-24.328407527945192
44.75454072803343,-32.61182508450736,-31.856770174194242,-39.51747694612367,-37.62127918715243,-31.518798693540223,-25.697503284905977
49.22999480083679,-31.987608636212514,-32.38116339418038,-43.05512325998595,-34.0899122479481,-31.993061466150085,-28.458455459997136
53.70544887364015,-35.661930793705785,-33.37061234665977,-39.19775748867595,-42.64547089941531,-31.716739337251045,-28.658537808075657
58.18090294644351,-35.84446881312389,-34.83284753447003,-37.02446059165369,-41.72258772036188,-31.04240780250416,-28.66731153430886
62.65635701924687,-36.456004876788576,-42.11047639072515,-42.026450940940386,-36.88886125392851,-35.41336807601315,-29.934633423622564
67.1318110920502,-34.3455186834273,-41.949505609554805,-42.00020809973354,-41.213026961126396,-35.76939520876039,-30.343136428355084
71.60726516485356,-34.234415531962775,-35.51475928748638,-42.34408272700967,-42.321575674419584,-36.19119183164364,-31.254259092857225
76.08271923765689,-35.85716666468307,-36.83013009147442,-46.813054957728625,-39.81410994890284,-37.03435886926344,7.53862457339899
80.55817331046025,-35.77951644208672,-34.44856738419947,-41.889132173945576,-37.401261086214994,-33.34315833370822,-4.334921702745205
85.0336273832636,-35.46005125748546,-38.222898597053174,-42.10702204065096,-38.124081029482696,-36.43602653292143,-8.973164719360266
89.50908145606694,-37.83350945989858,-32.00106668915618,-52.42122463104111,-43.70317849642983,-38.25146582864403,-15.352158340231515
93.98453552887027,-39.54006915555743,-38.341537415401696,-42.550061496392246,-42.76728800484983,-39.50089114791964,-19.598598089738108
98.45998960167363,-37.35244572982275,-34.09072163358405,-43.90269902531952,-41.717043399126126,-43.37781153659699,-27.13747519336338
102.93544367447699,-36.305431487608864,-39.72392023344109,-47.96446984762973,-42.573653596909935,-46.36288755362144,-29.653864915149466
107.41089774728032,-35.7401019838821,-40.386898627367415,-53.31669308955304,-40.678969209827464,-42.236740739502416,-30.860736302144108
111.8863518200837,-38.47458614675296,-39.961761732805925,-48.27454906509202,-40.68618673148158,-39.88880100053911,-31.283246156859246
116.36180589288703,-40.270038215284075,-42.0226988042302,-47.54663491523712,-41.19975227153055,-39.11731133134929,-32.09107075770554
120.83725996569036,-38.173519196952896,-40.87223262696419,-48.59805836007127,-39.63362134125494,-42.6754320818165,-32.128287956956775
125.31271403849372,-32.259546100903044,-44.35450141239695,-39.84750811160491,-39.26611875031102,-36.203237161019935,-32.14065718885952
129.78816811129707,-33.913886187204845,-45.89827383113483,-46.42840719902108,-37.64588593785392,-45.16514026347566,-0.9105368178417941
134.26362218410043,-19.598598089738108,-19.520525513492977,-22.617367269503752,-27.963889641680467,-27.567812222322367,-10.094681398837817
138.7390762569038,-35.171689642384464,-31.799886499126924,-39.40467945595592,-39.1892452178495,-39.16581729889465,-11.97945854607535
143.2145303297071,-36.52597798198558,-37.917019656176635,-41.59856557605339,-40.587890534502094,-43.35691402940033,-15.706867902002763
147.68998440251045,-34.09231280996042,-38.564886335585065,-41.36292614337829,-42.773918370817356,-36.95560931399465,-19.520525513492977
152.1654384753138,-49.8585694975508,-34.89807214849235,-42.69081754571858,-41.484623874328264,-47.179940668028365,-26.469553618999058
156.64089254811717,-41.29059458765152,-36.3265993389447,-42.798761363640104,-39.05788630474034,-43.53268169637121,-31.375620684864344
161.11634662092047,-35.792055955178675,-38.14398143752687,-47.372586107310006,-43.42402449258173,-47.42685650360126,-32.00106668915618
165.59180069372383,-35.4557741598232,-38.64320574127011,-43.757349643040385,-39.822102802426556,-51.53029040689858,-33.73584758408836
170.06725476652724,-36.1041585155366,-37.81371278839087,-48.2962341327762,-39.3790337887598,-42.61688638149088,-34.09072163358405
174.5427088393305,-37.48893694226853,-36.780355515644814,-44.2724707313151,-40.650648403867,-43.651806971784175,-34.44856738419947
179.0181629121339,-34.2657345911568,-35.95456341887357,-53.05959411951566,-41.79456755855503,-40.99633679176815,-34.89807214849235
183.4936169849372,-36.0990006697631,-39.12211604710074,-43.20573762230781,-42.1198906456544,-46.583150765232794,-11.488083647582492
187.96907105774056,-32.14065718885952,-35.072784457195866,-42.48602152482974,-35.51545901428228,-57.60778215962199,-11.513559373223982
192.44452513054392,-35.143421719631654,-38.27696970781537,-52.41619663425403,-36.889742792737344,-48.47147235883878,-14.837677648192004
196.91997920334728,-29.979321853102615,-34.986349323869554,-39.0616419219396,-43.145759307836435,-41.49994445908526,-16.244697344875366
201.39543327615064,-29.784377766538572,-33.94886952756022,-45.185702096112756,-37.20360571498492,-52.342120578058456,-22.617367269503752
205.870887348954,-28.49320681477341,-33.42090539474759,-40.984869976170074,-33.34762236961952,-43.27743479895213,-26.91811968541515
210.34634142175736,-24.908944604197686,-33.130435560314815,-40.006610777733854,-32.71747161452891,-42.75916274707946,-33.89582439505348
214.82179549456072,-20.638035246594832,-26.896178066500568,-34.65482942685628,-27.78845634459075,-33.34123597992006,-34.3362066772182
219.29724956736402,-8.973164719360266,-11.97945854607535,-14.837677648192004,-12.68132043144615,-12.857793819588636,-34.608152103069244
223.77270364016732,-13.312518341655888,-21.709411733472006,-32.51725889054156,-26.636745164927518,-35.16018181309676,-35.13123969071542
228.24815771297074,-22.666592117685703,-29.10424874183829,-33.046335385784005,-45.251433540539374,-30.214818934325145,-37.02446059165369
232.72361178577404,-25.854343894710166,-34.60136055592052,-43.19096288004274,-43.104520968733866,-32.05080034395485,-37.43652539589896
237.1990658585774,-26.227372657875012,-35.920371568817124,-38.080529557258245,-45.861801787042936,-36.32120484771436,7.179317507121751
241.67451993138076,-28.92342311658104,-34.738827437721774,-35.90569863943138,-33.52041719723687,-34.19977379400537,-0.8509471354938342
246.14997400418412,-31.748466178536276,-33.73584758408836,-35.13123969071542,-31.728763247718472,-32.09447027422414,-6.92507646444708
250.62542807698742,-34.861551184822986,-35.136042031153,-49.39457934670827,-38.413838322793,-37.79010570735932,-7.924741410622387
255.10088214979083,-29.94757117666291,-44.52176821322319,-37.43652539589896,-45.10362376720667,-35.29406768385454,-24.328407527945192
259.5763362225942,-28.875201330985753,-35.84753903783459,-59.64569816649007,-38.61026433402079,-38.54105673029332,-25.697503284905977
264.0517902953975,-27.13747519336338,-35.93495807910875,-38.87708191700659,-39.571926407024314,-40.36726631456674,-28.458455459997136
268.52724436820085,-31.059903609176732,-36.28804365651463,-45.66278169228312,-40.67942388481579,-33.03903327120092,-28.658537808075657
273.00269844100416,-29.9965358652939,-26.469553618999058,-26.91811968541515,-22.805869907975868,-24.575166070342206,-28.66731153430886
277.4781525138075,-29.885631989148397,-33.97875038289428,-46.256367797873054,-35.4808147959289,-41.59682513838068,-29.934633423622564
281.9536065866109,-26.717242379498455,-34.860165830790976,-44.988818543022965,-34.73789295052907,-38.21414931222316,-30.343136428355084
286.42906065941423,-27.413364903899332,-35.699733215132,-39.01277406633934,-34.5434977321866,-36.75744506381823,-31.254259092857225
290.9045147322176,-26.415685682218708,-33.106309862192326,-40.276088065117946,-31.538041041060325,-34.369428973144196,7.53862457339899
295.37996880502095,-24.765757458674862,-31.936748337259235,-39.57095792326795,-30.54552998440944,-33.729595701351556,-4.334921702745205
299.85542287782425,-22.65665490051576,-31.100230377752922,-32.88077490776674,-28.000198713681243,-31.01585375172472,-8.973164719360266
304.33087695062767,-19.58156601039747,-28.20268110781768,-31.23608194376342,-25.06074498829892,-27.64840968887546,-15.352158340231515
308.806331023431,-14.587604290001988,-22.07101034203265,-25.581856179720177,-21.184803972236914,-23.663169162510084,-19.598598089738108
313.2817850962343,-4.735671541054821,-10.094681398837817,-11.513559373223982,-9.642060449539917,-13.794164046578445,-27.13747519336338
317.7572391690377,-4.334921702745205,-15.360801335037857,-16.641408750881894,-12.066055298088862,-12.716040219450873,-29.653864915149466
322.232693241841,-14.529352668661332,-24.961243862716774,-27.961860919416747,-22.192599084803938,-23.005607332803116,-30.860736302144108
326.70814731464435,-18.72572096437539,-30.11165677585884,-30.125777415413488,-25.75119088399619,-27.1551459956164,-31.283246156859246
331.1836013874477,-21.414709739046938,-30.004390344855032,-33.43631053181963,-28.658285553225888,-30.901496793948077,-32.09107075770554
335.65905546025107,-23.91882380192399,-34.42954708318573,-36.954288693422185,-30.73446691221504,-32.39944152221903,-32.128287956956775
340.13450953305437,-26.29647526738324,-37.47886330059074,-34.3362066772182,-33.01792208171933,-34.9638428826657,-32.14065718885952
344.6099636058578,-27.33675978351713,-36.29189571655192,-37.41673598103956,-34.58885038668872,-34.83317196336374,-0.9105368178417941
349.08541767866103,-28.957576252274414,-36.22311173944665,-37.47268167027161,-35.102663444117496,-38.19993296997722,-10.094681398837817
353.56087175146445,-29.18295402866128,-35.98015260113905,-37.130124991789444,-36.41628075682959,-38.221606201849106,-11.97945854607535
358.03632582426775,-29.073995600857515,-43.081990264823496,-38.25696122868354,-37.86012625338844,-37.761733744560196,-15.706867902002763
362.51177989707116,-30.95570400600298,-37.71330349062298,-40.25457295947091,-38.71538610102442,-39.65628840884862,-19.520525513492977
366.98723396987447,-31.241114624327636,-43.58606519134242,-42.55597647578897,-36.81363182225607,-40.67985071817116,-26.469553618999058
371.4626880426778,-31.008011906594817,-40.19651459484557,-42.735134315235555,-40.188414626543874,-40.169394198325286,-31.375620684864344
375.93814211548124,-32.70097166135259,-39.20582909176791,-44.48416903544861,-39.40129367631712,-41.93198541775576,-32.00106668915618
380.4135961882845,-34.18851307594879,-44.35031912266882,-42.66235380686837,-41.52665898128143,-41.410075327521064,-33.73584758408836
384.8890502610878,-31.283246156859246,-40.93628040869672,-41.15242832618424,-41.584970001161416,-44.07185655022345,-34.09072163358405
389.36450433389126,-32.1200115839676,-40.673788410478636,-43.601617685531586,-44.68999863970993,-43.99940403639704,-34.44856738419947
393.8399584066947,-32.78522743494272,-41.449767356829724,-40.245448066770166,-42.91653353028818,-45.559290683755485,-34.89807214849235
398.3154124794979,-36.79131932147471,-41.85097426870535,-42.043191042892076,-49.69015828567827,-42.73836951808804,-11.488083647582492
402.7908665523012,-32.09107075770554,-45.967403015134416,-42.13651667553107,-42.74694969573932,-43.49836157571794,-11.513559373223982
407.2663206251046,-34.48924216109103,-45.098924323339524,-39.7767625623012,-43.39743488198299,-47.291377686642946,-14.837677648192004
411.74177469790806,-35.921292447899944,-40.35676607767943,-43.99540366805713,-48.43483504007299,-46.3075852390505,-16.244697344875366
416.2172287707113,-32.73949157261563,-42.74943849776705,-43.37569990886155,-38.40222273237043,-46.504965439080536,-22.617367269503752
420.6926828435146,-32.62907527230305,-40.927418890347084,-45.37915953901311,-41.50781405375999,-43.71487805214748,-26.91811968541515
425.1681369163181,-39.473192688386106,-52.695774095517784,-47.066483271303056,-41.793707941327646,-50.180709766548155,-33.89582439505348
429.64359098912144,-33.99108732226465,-42.08364762513038,-40.89229114452096,-42.55396952930282,-45.25131243611574,-34.3362066772182
434.11904506192457,-32.128287956956775,-36.34718063725489,-39.93740283117154,-46.86298584075765,-36.125476445966555,-34.608152103069244
438.59449913472804,-38.29797976885336,-39.65465809666892,-37.300010631732206,-38.45419208022925,-49.85646260673735,-35.13123969071542
443.0699532075314,-42.49713669871758,-40.11412812595115,-33.89582439505348,-36.792327958893935,-42.39640952478277,-37.02446059165369
447.54540728033487,-29.653864915149466,-38.679132667398875,-51.5717468880636,-48.378648325171,-43.89818389420575,-37.43652539589896
452.020861353138,-32.074979523588866,-42.74195152614695,-45.05919102000541,-43.67287131486109,-48.149592500129785,-1.783275467014507
456.49631542594136,-30.860736302144108,-36.45251185365628,-34.608152103069244,-42.12609350827463,-39.00745370106701,-9.642060449539917
460.9717694987447,-35.42144102509904,-31.375620684864344,-37.00370608241612,-36.212292047651104,-40.667172938663825,-12.68132043144615
465.4472235715482,-29.949037101756506,-32.474108869439306,-32.739602199517705,-33.550988847081754,-37.29416492770346,-18.633016698526127
469.92267764435144,-21.67855795653481,-25.340236291925393,-27.151038428849258,-30.11056061439386,-35.11396776110101,-22.805869907975868
474.3981317171548,-15.352158340231515,-15.706867902002763,-16.244697344875366,-18.633016698526127,-22.67925854589413,-26.18279212995866
478.87358578995816,-22.67584605050892,-17.048629079356136,-18.926066936734983,-20.374574535127262,-22.07284495908016,-27.963889641680467
483.3490398627615,-27.461774264252977,-27.535176502884894,-28.73654343317764,-29.819928601623317,-30.860906064412497,-31.728763247718472
487.8244939355649,-32.260787299851835,-31.852417965318253,-32.42132394174242,-33.75851850226811,-34.98077772173752,-34.0899122479481
492.2999480083681,-36.02534090666811,-34.31887146171637,-35.27213762074623,-36.5863261856457,-37.11575894959772,-35.271386003112525
496.7754020811716,-39.72926501851524,-36.804793491995774,-37.75393625812161,-38.26530812728182,-38.82386500570536,-35.51545901428228
501.25085615397495,-40.98085715613418,-38.50198231536564,-38.82812114605362,-39.89003871890856,-40.004614343721514,-36.792327958893935
505.7263102267783,-43.11953956008543,-39.614161472529794,-40.13808590446824,-40.964826798757635,-41.2084606155862,-3.4266523045376966
510.20176429958144,-46.240226045033324,-41.829686845850034,-40.90729080551576,-41.60862187889449,-41.76937684950473,-12.716040219450873
