Distance(ft),ch0_dB_20260203_093444,ch1_dB_20260203_093444,ch2_dB_20260203_093444,ch3_dB_20260203_093444,ch4_dB_20260203_093444,ch5_dB_20260203_093444
-85.0336273832636,-40.24973011825736,-43.68715824677102,-44.13592524771795,-41.22999192933002,-35.519175909270295,4.0808289023553375
-80.55817331046026,-39.833059366178375,-43.149507431021306,-43.012789224831884,-40.87974758941037,-34.9950249790447,-14.372323932720938
-76.08271923765692,-39.27190912700776,-42.758988404159304,-43.289898986694396,-40.31550566655463,-34.46500977156714,-15.072435093898429
-71.60726516485356,-38.71766135195557,-42.39251182153631,-42.44911933787379,-39.74510213632867,-33.88504490320705,-20.741004292009283
-67.13181109205021,-38.10735296886773,-41.94067227990107,-42.012444053280326,-39.12595562662749,-33.27768721420796,-22.621843448151587
-62.65635701924687,-37.4724705090809,-41.48882317540818,-41.11114729753564,-38.47202408957219,-32.634069989388884,-23.25154825723175
-58.180902946443524,-36.775082003026874,-41.00529390146279,-41.073585630041975,-37.79227553242205,-31.94055456443668,-23.689556505724436
-53.70544887364018,-36.01269544003888,-40.484013468609206,-40.07181135411024,-37.01795750019593,-31.175297435513954,-25.05232461853751
-49.22999480083683,-35.19692045947708,-39.91469046728914,-39.671387009181394,-36.178437488402636,-30.363530721544244,-29.42345970491455
-44.75454072803348,-34.305354063744275,-39.255143852678586,-38.35762532065105,-35.29536493073549,-29.470106155167926,-31.52898997826351
-40.27908665523014,-33.32068285364383,-38.54278987236819,-37.831239147698014,-34.30246280228922,-28.46822583888248,-32.57921911543353
-35.80363258242678,-32.21987906015603,-37.72382226107892,-36.93595927442802,-33.178742978354805,-27.36216298979578,-34.02235991223614
-31.328178509623434,-30.965314763055186,-36.765412219102764,-35.852817169434765,-31.92318935150288,-26.097709750075545,-4.09250331437017
-26.852724436820097,-29.5275877283934,-35.59733344856138,-34.531267140699384,-30.462198471463488,-24.63295357697956,-10.586143436622603
-22.377270364016745,-27.82269338072937,-34.1537127271848,-32.71967017549955,-28.738904238941103,-22.9001079515441,-15.817681573759767
-17.901816291213407,-25.74060888610697,-32.309143661480675,-31.24392884379697,-26.616564199115725,-20.752233973212938,-18.656406664848156
-13.426362218410048,-23.044304738380134,-29.70959220150125,-28.657937673596287,-23.861486618251682,-17.945866781821945,-23.162217483222392
-8.950908145606704,-19.184169514955233,-25.626388400804192,-26.092626310676593,-19.86544869213098,-13.839980503561282,-24.210694965543894
-4.475454072803359,-12.08285407790755,-17.039628154612608,-19.89401855907432,-12.315682308424215,-5.967446199913616,-24.74201322107433
0.0,-4.09250331437017,-9.688565170580956,-9.742816939139473,0.6802012082423491,5.1064700843330275,-24.88868701475855
4.4754540728033305,-16.162368487863738,-24.350008732714763,-16.147428260658184,-14.189225614277692,-9.3680593232057,-25.973455724323436
8.95090814560669,-18.74095130260686,-30.986326116473307,-22.445793644478577,-21.263050714556716,-16.644704048792626,-29.52052416452496
13.426362218410048,-23.596378462118114,-45.26817727030206,-27.19555584857971,-25.03625326637099,-19.131655854937105,-29.64990731475659
17.90181629121338,-26.065321260788366,-48.7705769835732,-29.14523141507441,-26.680014503313263,-21.22165594742311,-30.310325498954185
22.377270364016738,-26.29087705581592,-58.486113445924516,-32.80970884197127,-28.809592259178068,-23.314060377879656,4.0808289023553375
26.852724436820083,-29.012717352573553,-41.15000061394718,-33.408679857704165,-30.219468507844486,-24.122082053049457,-14.372323932720938
31.328178509623413,-30.077870410339806,-47.354621798151086,-38.75192917110472,-32.05802977100716,-26.033778423879156,-15.072435093898429
35.80363258242677,-29.81591514323869,-42.79540878142108,-36.780587905513585,-32.82084592432376,-25.379519041487228,-20.741004292009283
40.27908665523012,-30.89524228596719,-43.243779931693275,-38.14621855725696,-33.94551222539934,-28.00433498690738,-22.621843448151587
44.75454072803343,-32.01099030332457,-43.45622175777251,-36.803663579761235,-34.2260334399569,-28.459449085179934,-23.25154825723175
49.22999480083679,-31.550579702271797,-41.014524505624614,-37.84816700414429,-33.387696781817134,-27.416657209789253,-23.689556505724436
53.70544887364015,-32.96735827824691,-39.78869918427007,-42.006881047699395,-35.20423661523378,-28.09051045518986,-25.05232461853751
58.18090294644351,-32.081983864460895,-39.45095240968782,-34.110427296219136,-32.991813962845484,-28.376175651776126,-29.42345970491455
