Frequency,North_Port_Input,South_Port_Output,DS_AFE_Input
96000000.0000,-41.4032,-26.1779,-54.8797
96100524.9020,-41.5766,-26.0478,-55.1997
96201049.8050,-41.5900,-25.6878,-54.4697
96301574.7070,-41.5134,-26.0477,-54.7197
96402099.6090,-41.2567,-25.7377,-54.3897
96502624.5120,-41.3201,-25.5877,-54.6197
96603149.4140,-41.3435,-25.7876,-54.2897
96703674.3160,-40.8869,-25.6276,-54.1197
96804199.2190,-41.5402,-25.6075,-54.1997
96904724.1210,-41.2536,-25.7975,-54.2497
97005249.0230,-41.0270,-25.2174,-53.4997
97105773.9260,-41.7404,-25.3674,-53.9897
97206298.8280,-40.8037,-25.2974,-53.3497
97306823.7300,-40.8871,-24.9873,-53.4397
97407348.6330,-40.9105,-25.2473,-53.0597
97507873.5350,-40.8039,-25.2472,-53.6197
97608398.4380,-41.4472,-25.5872,-52.6497
97708923.3400,-41.3506,-25.5071,-52.8497
97809448.2420,-40.6040,-25.4371,-52.2797
97909973.1450,-41.4174,-25.7370,-52.1897
98010498.0470,-40.6008,-25.2170,-51.4297
98111022.9490,-40.6241,-25.2570,-51.7397
98211547.8520,-40.2075,-25.5269,-51.5897
98312072.7540,-40.2309,-25.0969,-51.3297
98412597.6560,-40.2843,-25.1668,-50.6197
98513122.5590,-40.0876,-25.3068,-50.9097
98613647.4610,-40.0710,-24.8667,-50.6197
98714172.3630,-40.1444,-24.8967,-50.7597
98814697.2660,-40.1978,-24.8566,-50.8397
98915222.1680,-39.8511,-25.0066,-50.8397
99015747.0700,-40.0045,-25.4066,-50.4097
99116271.9730,-40.5279,-24.8465,-50.2997
99216796.8750,-39.8913,-25.1465,-49.8197
99317321.7770,-39.9246,-25.3164,-50.3797
99417846.6800,-40.0380,-25.4664,-49.3197
99518371.5820,-39.6614,-25.2163,-49.0697
99618896.4840,-39.7548,-25.6963,-49.5797
99719421.3870,-39.8381,-25.3162,-49.5297
99819946.2890,-39.4215,-24.9262,-49.4497
99920471.1910,-39.8049,-25.2662,-49.1697
100020996.0940,-39.8983,-24.8961,-49.5097
100121520.9960,-39.4916,-24.6661,-49.8997
100222045.8980,-39.6050,-24.2360,-49.1697
100322570.8010,-39.7484,-24.4660,-48.7697
100423095.7030,-39.4318,-24.8159,-49.3397
100523620.6050,-39.5351,-24.9459,-49.3497
100624145.5080,-39.8285,-24.6659,-48.8197
100724670.4100,-39.8919,-24.2158,-49.1697
100825195.3120,-39.4153,-24.9558,-49.0897
100925720.2150,-39.8586,-24.7057,-49.1197
101026245.1170,-39.7720,-24.2757,-49.3497
