Frequency,North_Port_Input,South_Port_Output,DS_AFE_Input
96000000.0000,-42.3241,-25.5517,-54.8097
96100524.9020,-42.6073,-25.4016,-55.0197
96201049.8050,-42.9406,-25.3015,-54.3897
96301574.7070,-42.7838,-25.4014,-54.1597
96402099.6090,-42.5371,-25.4213,-54.5397
96502624.5120,-42.7404,-25.2212,-54.5797
96603149.4140,-41.9336,-24.9911,-53.6497
96703674.3160,-42.1369,-25.0210,-54.3597
96804199.2190,-41.9001,-25.1309,-53.9597
96904724.1210,-42.0234,-24.7309,-53.6497
97005249.0230,-41.8967,-25.8708,-53.5997
97105773.9260,-42.1299,-25.8107,-53.8597
97206298.8280,-42.2832,-25.5106,-53.1997
97306823.7300,-42.1265,-25.3705,-53.3397
97407348.6330,-41.8597,-25.2704,-52.7997
97507873.5350,-42.0830,-25.3903,-53.1297
97608398.4380,-41.5662,-25.1402,-51.9997
97708923.3400,-41.5495,-25.3201,-52.4997
97809448.2420,-41.4028,-25.1500,-52.0497
97909973.1450,-41.9460,-24.8699,-52.0197
98010498.0470,-41.6393,-25.1398,-51.9897
98111022.9490,-41.4425,-25.3097,-51.9697
98211547.8520,-41.5058,-25.2297,-52.0697
98312072.7540,-41.5691,-25.2796,-52.0697
98412597.6560,-40.9123,-24.4295,-51.1997
98513122.5590,-41.0456,-24.7394,-51.9697
98613647.4610,-40.5888,-24.8893,-50.9297
98714172.3630,-41.1021,-24.3892,-51.0997
98814697.2660,-41.2354,-24.9091,-51.0997
98915222.1680,-41.0986,-24.9790,-51.1597
99015747.0700,-40.5219,-25.1989,-50.9197
99116271.9730,-40.8552,-25.2288,-51.1797
99216796.8750,-40.3684,-24.5887,-50.5297
99317321.7770,-40.8417,-24.8986,-50.5097
99417846.6800,-40.3849,-25.2085,-50.7297
99518371.5820,-40.3382,-24.6785,-50.3197
99618896.4840,-40.7215,-24.6984,-50.5897
99719421.3870,-40.5947,-24.9983,-50.9497
99819946.2890,-39.8280,-25.0082,-48.9897
99920471.1910,-40.5112,-24.8381,-49.8097
100020996.0940,-39.9745,-24.6280,-49.2397
100121520.9960,-39.5178,-24.7879,-48.8497
100222045.8980,-39.6710,-23.9578,-49.4997
100322570.8010,-39.9843,-24.3677,-49.6797
100423095.7030,-39.6776,-24.2576,-49.1897
100523620.6050,-39.7708,-24.1275,-49.3797
100624145.5080,-39.7341,-24.0674,-48.2997
100724670.4100,-39.9473,-23.8673,-48.9197
100825195.3120,-38.9006,-24.5573,-48.0097
100925720.2150,-39.0839,-24.2772,-48.0697
101026245.1170,-38.9971,-24.4371,-48.3797
101126770.0200,-39.2204,-24.5170,-48.1597
101227294.9220,-39.1036,-23.8469,-47.7597
101327819.8240,-38.8269,-23.8668,-48.2797
101428344.7270,-38.2102,-24.5467,-47.1497
101528869.6290,-39.3334,-24.6466,-47.5097
101629394.5310,-38.4367,-23.9565,-46.4197
101729919.4340,-37.8800,-23.9764,-46.7197
101830444.3360,-38.7832,-24.0463,-47.3997
101930969.2380,-38.7365,-23.9062,-46.7297
102031494.1410,-38.6797,-23.8761,-47.1197
102132019.0430,-38.9830,-23.9160,-47.3997
102232543.9450,-38.3663,-23.8959,-46.3097
102333068.8480,-38.7295,-24.1059,-46.8597
102433593.7500,-38.6828,-23.9458,-46.1497
102534118.6520,-38.0560,-23.7957,-45.9697
102634643.5550,-38.5093,-23.5356,-46.5997
102735168.4570,-38.9526,-23.6955,-46.4397
102835693.3590,-38.2458,-23.6254,-46.7197
102936218.2620,-37.9691,-23.5353,-46.8397
103036743.1640,-37.4924,-23.6352,-45.5197
103137268.0660,-38.0656,-23.5251,-46.0697
103237792.9690,-37.6289,-23.5750,-44.6797
103338317.8710,-37.6021,-23.6249,-45.2797
103438842.7730,-17.9854,-14.0848,-25.4397
103539367.6760,-36.3487,-23.3347,-43.7097
103639892.5780,7.3681,11.7153,0.6603
103740417.4800,-1.3452,2.5654,-8.3997
103840942.3830,13.1316,16.8355,6.2603
103941467.2850,11.4583,15.9456,5.0403
104041992.1880,13.1450,17.1757,6.3703
104142517.0900,13.4918,16.7158,6.0403
104243041.9920,13.7785,17.8659,6.5403
104343566.8950,13.3852,17.5160,6.5303
104444091.7970,11.4820,15.7161,4.4203
104544616.6990,13.2887,17.4262,6.1403
104645141.6020,-5.8345,-0.8037,-12.3297
104745666.5040,5.6322,10.5664,-0.9397
104846191.4060,-36.3811,-23.4135,-43.5997
104946716.3090,-24.7643,-18.7435,-31.4397
105047241.2110,-37.6976,-23.3934,-45.2197
105147766.1130,-37.4208,-23.6433,-44.7297
105248291.0160,-38.3741,-22.7232,-44.9497
105348815.9180,-38.4574,-22.8731,-45.0797
105449340.8200,-37.4406,-22.6030,-44.0597
105549865.7230,-37.5939,-22.8229,-44.4797
