Frequency,North_Port_Input,South_Port_Output,DS_AFE_Input
96000000.0000,-43.4048,-26.3243,-61.4297
96100524.9020,-43.4280,-26.3741,-61.3397
96201049.8050,-43.7013,-25.9840,-60.9597
96301574.7070,-43.7246,-26.0939,-61.1897
96402099.6090,-44.0478,-26.2237,-60.3497
96502624.5120,-44.1411,-26.2736,-60.6597
96603149.4140,-43.3044,-25.3635,-60.7197
96703674.3160,-43.6077,-25.6533,-60.5597
96804199.2190,-43.5609,-25.6932,-60.8497
96904724.1210,-43.5842,-25.6131,-60.7797
97005249.0230,-43.3975,-25.9629,-60.0197
97105773.9260,-43.4308,-25.8428,-60.4697
97206298.8280,-43.8240,-25.4827,-60.0997
97306823.7300,-43.6573,-25.7625,-60.1197
97407348.6330,-43.4306,-25.6424,-59.7897
97507873.5350,-43.6138,-25.2723,-59.9097
97608398.4380,-43.1571,-25.7522,-59.2897
97708923.3400,-43.2504,-25.8220,-59.7397
97809448.2420,-43.1837,-25.3719,-59.6897
97909973.1450,-43.2469,-25.4118,-59.4597
98010498.0470,-42.7702,-25.6216,-58.7497
98111022.9490,-42.7435,-25.5415,-59.3297
98211547.8520,-42.9667,-25.7214,-58.8897
98312072.7540,-43.1400,-25.5912,-58.6897
98412597.6560,-42.3833,-25.4611,-58.3397
98513122.5590,-42.7866,-25.6010,-58.8897
98613647.4610,-42.5898,-25.8808,-58.4097
98714172.3630,-42.8431,-25.2907,-58.2897
98814697.2660,-42.8964,-24.9106,-58.4897
98915222.1680,-42.7497,-25.5304,-58.3897
99015747.0700,-41.9829,-25.1703,-58.5197
99116271.9730,-42.1962,-25.1102,-58.2097
99216796.8750,-42.1895,-25.3801,-57.3597
99317321.7770,-42.2027,-25.2699,-58.1397
99417846.6800,-42.2560,-25.3398,-57.1197
99518371.5820,-42.2893,-25.2597,-57.0897
99618896.4840,-42.0226,-24.8795,-57.4297
99719421.3870,-42.2258,-25.0894,-57.1497
99819946.2890,-42.0691,-25.3693,-56.6297
99920471.1910,-42.3324,-25.1291,-57.0597
100020996.0940,-42.0457,-24.7190,-56.7097
100121520.9960,-42.2989,-24.7889,-56.5997
100222045.8980,-42.1622,-24.7287,-56.5697
100322570.8010,-41.9455,-24.3786,-57.0197
100423095.7030,-41.3687,-24.7285,-56.4097
100523620.6050,-41.9520,-24.7783,-56.4597
100624145.5080,-41.6853,-25.2882,-56.4497
100724670.4100,-41.5486,-25.0081,-56.5997
100825195.3120,-41.7418,-24.9279,-56.1997
100925720.2150,-41.7551,-25.3378,-56.2397
101026245.1170,-41.2884,-25.1577,-55.9397
101126770.0200,-41.5817,-24.8676,-56.0897
101227294.9220,-41.7449,-25.1174,-55.6797
101327819.8240,-41.5282,-25.3573,-55.5997
101428344.7270,-41.3615,-24.6372,-55.4097
101528869.6290,-41.7147,-24.6770,-55.7397
101629394.5310,-41.9580,-24.6369,-55.3897
101729919.4340,-41.7213,-24.6468,-55.3497
101830444.3360,-41.7546,-24.3866,-55.0597
101930969.2380,-41.7378,-24.5865,-55.2497
102031494.1410,-41.6811,-24.4264,-55.2997
102132019.0430,-41.5344,-24.2062,-55.0197
102232543.9450,-41.4077,-24.5661,-54.8597
102333068.8480,-41.8409,-24.4960,-54.9697
102433593.7500,-41.3842,-24.2858,-55.1797
102534118.6520,-41.1775,-24.6757,-55.1497
102634643.5550,-41.4907,-24.3656,-54.7997
102735168.4570,-41.7040,-23.9254,-54.8797
102835693.3590,-41.6073,-24.2153,-54.6597
102936218.2620,-41.9506,-24.1852,-54.9997
103036743.1640,-40.7738,-24.3351,-54.4297
103137268.0660,-41.8171,-24.4449,-55.1497
103237792.9690,-4.0004,1.4752,-16.7297
103338317.8710,-20.6837,-14.8147,-32.7697
103438842.7730,8.1231,13.9955,-4.0197
103539367.6760,4.6998,10.3656,-7.9697
103639892.5780,9.2365,15.7257,-2.7397
103740417.4800,9.0833,15.1459,-2.7397
103840942.3830,9.7500,16.2160,-1.7997
103941467.2850,9.2067,16.0661,-2.5197
104041992.1880,10.5834,15.6063,-2.0497
104142517.0900,10.3502,16.0564,-1.7997
104243041.9920,9.7669,15.8965,-2.4797
104343566.8950,9.9936,15.5267,-2.3797
104444091.7970,9.6803,16.0568,-2.4497
104544616.6990,10.1171,16.3269,-2.2197
104645141.6020,7.4338,14.0571,-4.1797
104745666.5040,8.8905,15.5972,-2.6397
104846191.4060,-8.8727,-1.3627,-20.4897
104946716.3090,2.0840,9.2375,-9.5497
105047241.2110,-42.5493,-23.5124,-55.1897
105147766.1130,-27.5726,-18.9323,-39.1097
105248291.0160,-42.3058,-23.1722,-54.9597
105348815.9180,-42.6991,-23.0920,-55.3997
105449340.8200,-42.3224,-23.8519,-54.8697
105549865.7230,-42.4556,-23.4918,-55.1297
105650390.6250,-42.4089,-22.9616,-54.6697
105750915.5270,-42.1622,-23.2715,-54.7797
105851440.4300,-42.5455,-23.4514,-55.0497
105951965.3320,-42.7587,-23.4212,-54.8897
106052490.2340,-42.1420,-23.7811,-55.1097
106153015.1370,-42.3153,-23.3610,-55.1597
106253540.0390,-42.3786,-24.0108,-54.6697
106354064.9410,-42.4118,-24.1207,-54.5397
