Frequency,North_Port_Input,South_Port_Output,DS_AFE_Input
96000000.0000,-41.4053,-25.4401,-59.3297
96100524.9020,-41.6487,-25.6600,-59.3097
96201049.8050,-41.4620,-25.7098,-58.8597
96301574.7070,-41.2953,-25.5697,-59.0797
96402099.6090,-41.3087,-25.7396,-58.7697
96502624.5120,-41.4720,-25.7995,-58.7897
96603149.4140,-40.9654,-25.3594,-58.3597
96703674.3160,-40.9387,-25.3593,-58.7897
96804199.2190,-41.4420,-25.1991,-58.1797
96904724.1210,-41.2354,-25.3490,-58.2597
97005249.0230,-40.8487,-25.8789,-58.0197
97105773.9260,-41.4320,-25.3088,-57.9297
97206298.8280,-40.7254,-25.6387,-57.5997
97306823.7300,-40.5987,-25.6686,-57.9097
97407348.6330,-41.0420,-25.5785,-57.5597
97507873.5350,-40.9054,-25.5983,-57.5597
97608398.4380,-40.8287,-25.4082,-57.4597
97708923.3400,-41.2021,-25.4081,-57.4997
97809448.2420,-40.6754,-25.6180,-56.6997
97909973.1450,-40.5787,-25.6179,-57.0797
98010498.0470,-40.5121,-25.4878,-56.4897
98111022.9490,-40.7454,-25.4076,-56.6797
98211547.8520,-40.3487,-25.6075,-56.1197
98312072.7540,-40.1521,-25.5274,-56.3897
98412597.6560,-40.3254,-25.1573,-55.8897
98513122.5590,-40.6387,-25.3372,-55.8097
98613647.4610,-40.5321,-24.7271,-55.8397
98714172.3630,-40.3854,-24.8570,-55.7697
98814697.2660,-40.1788,-25.6268,-55.2797
98915222.1680,-40.2121,-25.4767,-55.4997
99015747.0700,-39.6754,-25.0366,-54.4297
99116271.9730,-39.9688,-25.1265,-54.9097
99216796.8750,-40.3021,-25.5264,-54.7997
99317321.7770,-40.2454,-25.1263,-54.7397
99417846.6800,-40.0788,-25.3862,-54.7797
99518371.5820,-40.0521,-25.5660,-54.8097
99618896.4840,-39.5754,-25.1759,-54.2097
99719421.3870,-39.8188,-25.1558,-54.4297
99819946.2890,-39.5921,-24.8757,-53.8697
99920471.1910,-39.5254,-24.7656,-54.2997
100020996.0940,-39.6288,-25.0255,-53.2997
100121520.9960,-39.9121,-25.0354,-53.5297
100222045.8980,-39.2455,-24.7652,-53.1297
100322570.8010,-39.5388,-24.8151,-53.5597
100423095.7030,-39.0721,-24.6650,-53.5497
100523620.6050,-39.1555,-24.8749,-53.2497
100624145.5080,-38.9688,-24.7448,-52.5897
100724670.4100,-38.7421,-24.2847,-53.1897
100825195.3120,-39.1055,-24.5445,-52.6697
100925720.2150,-38.7888,-24.7044,-52.6097
101026245.1170,-39.2221,-24.6243,-52.6797
101126770.0200,-39.5055,-24.7242,-52.5597
101227294.9220,-39.2588,-24.9341,-52.4397
101327819.8240,-39.1322,-24.8040,-52.9397
101428344.7270,-39.4455,-24.0939,-52.2497
101528869.6290,-39.5088,-24.2937,-51.9197
101629394.5310,-39.2322,-24.2436,-52.2197
101729919.4340,-39.3255,-24.1835,-52.2397
101830444.3360,-39.4588,-24.3434,-52.3097
101930969.2380,-39.4322,-24.2633,-52.4397
102031494.1410,-39.4255,-24.6432,-51.9597
102132019.0430,-39.2388,-24.4930,-52.0097
102232543.9450,-39.1122,-24.4429,-52.3297
102333068.8480,-39.2955,-24.6028,-52.1597
102433593.7500,-39.3088,-24.2227,-51.8897
102534118.6520,-39.0722,-24.3326,-52.1797
102634643.5550,-39.0855,-23.7025,-51.6997
102735168.4570,-39.6889,-23.7224,-51.3997
102835693.3590,-39.0022,-23.5022,-51.8697
102936218.2620,-38.9655,-23.7021,-51.9797
103036743.1640,-38.9289,-24.4020,-50.9097
103137268.0660,-39.2022,-23.8319,-51.6097
103237792.9690,-2.0755,1.1982,-14.1897
103338317.8710,-18.2989,-14.6417,-30.8497
103438842.7730,10.1878,13.9685,-1.3697
103539367.6760,6.4845,10.2386,-5.2397
103639892.5780,11.1011,16.0287,-0.2397
103740417.4800,10.9778,15.5588,-0.3497
103840942.3830,11.5244,15.7689,-0.8097
103941467.2850,11.2611,15.8790,-0.3797
104041992.1880,11.5978,16.0291,0.7503
104142517.0900,11.7144,15.9393,-0.3797
104243041.9920,11.4611,16.0094,0.2703
104343566.8950,11.4878,15.8895,0.7603
104444091.7970,11.6144,15.7796,0.1603
104544616.6990,11.7711,15.9097,0.2303
104645141.6020,9.1778,14.9398,-1.8197
104745666.5040,10.9244,15.9099,-0.0897
104846191.4060,-6.8289,-1.5899,-18.0597
104946716.3090,3.8977,9.7402,-7.1197
105047241.2110,-39.3956,-23.8497,-51.2997
105147766.1130,-25.6289,-18.7296,-37.0097
105248291.0160,-39.8423,-23.6295,-51.7697
105348815.9180,-39.9656,-23.7194,-51.3397
105449340.8200,-40.0889,-23.3592,-51.7197
105549865.7230,-39.7723,-23.4491,-51.7997
105650390.6250,-39.9256,-23.3290,-51.3997
105750915.5270,-39.9589,-23.4089,-51.8497
105851440.4300,-40.4223,-23.9088,-51.8197
105951965.3320,-39.9256,-23.4887,-51.4497
106052490.2340,-40.3489,-23.5686,-51.8497
106153015.1370,-40.5023,-23.6784,-51.5197
106253540.0390,-39.7356,-23.4483,-51.7397
106354064.9410,-40.1190,-23.3882,-52.0597
106454589.8440,-39.8923,-23.5881,-52.0797
106555114.7460,-40.0356,-23.3380,-51.8297
106655639.6480,-39.6390,-23.4479,-51.5797
106756164.5510,-39.6123,-23.2978,-51.5497
106856689.4530,-40.4456,-23.6176,-51.8397
106957214.3550,-40.0990,-23.7475,-51.7997
107057739.2580,-40.3223,-23.4774,-52.2397
107158264.1600,-40.4956,-23.5173,-52.0997
107258789.0620,-40.3690,-23.2472,-52.0897
107359313.9650,-40.0723,-23.0571,-52.0397
107459838.8670,-39.6757,-23.2670,-51.5697
107560363.7700,-40.0790,-23.3868,-51.9397
107660888.6720,-38.7623,-22.7867,-49.3997
107761413.5740,-40.0257,-23.0466,-51.0897
107861938.4770,-11.3090,-4.7065,-21.5397
107962463.3790,-24.0823,-16.3064,-34.1297
108062988.2810,-0.8013,6.4411,-10.8297
108163513.1840,-4.4019,2.3912,-14.7097
108264038.0860,2.9976,9.7413,-6.6697
108364562.9880,1.3771,8.6214,-8.2797
108465087.8910,4.5966,10.9214,-5.9197
108565612.7930,4.2061,10.5115,-5.9197
108666137.6950,4.3656,11.5116,-5.6197
108766662.5980,4.3051,11.4716,-5.5497
108867187.5000,4.9246,11.3717,-5.6297
108967712.4020,4.5341,11.5718,-5.8697
109068237.3050,4.6535,10.9418,-5.1997
109168762.2070,4.5330,11.3219,-5.3597
109269287.1090,4.4625,11.0320,-5.4197
109369812.0120,4.8620,10.8520,-5.1497
109470336.9140,4.4413,11.3120,-5.5897
109570861.8160,4.2905,11.2521,-5.4897
109671386.7190,4.8297,12.0720,-5.4897
109771911.6210,4.7789,11.8320,-5.3797
109872436.5230,4.2181,11.2620,-5.1697
109972961.4260,4.3273,11.3120,-5.4697
110073486.3280,4.4765,11.3320,-5.4297
110174011.2300,4.1457,11.4120,-4.8897
110274536.1330,4.1149,11.4620,-5.8597
110375061.0350,4.3941,11.3220,-5.7797
110475585.9380,4.1333,11.3120,-5.5097
110576110.8400,4.3625,11.6420,-5.6997
110676635.7420,4.3017,11.0620,-5.7397
110777160.6450,4.1909,10.9320,-5.4197
110877685.5470,4.5505,10.9919,-5.7097
110978210.4490,4.4501,10.8618,-5.6497
111078735.3520,4.2796,11.2717,-5.8397
111179260.2540,4.3492,11.1116,-5.8697
111279785.1560,4.6588,11.6315,-5.6297
111380310.0590,4.6684,11.5214,-5.8197
111480834.9610,4.4979,11.5413,-5.9197
111581359.8630,4.4875,11.6912,-5.8797
111681884.7660,4.8371,11.4111,-5.5997
111782409.6680,4.5467,11.4310,-5.7797
111882934.5700,5.0762,10.9909,-5.7497
111983459.4730,4.9658,11.3808,-5.5297
112083984.3750,4.3654,11.0107,-5.7797
112184509.2770,4.6450,11.0506,-5.8497
112285034.1800,3.7349,11.1007,-5.3797
112385559.0820,4.4147,11.1708,-5.7597
112486083.9840,4.1746,10.9908,-5.7097
112586608.8870,3.9444,10.6609,-5.4197
112687133.7890,4.5143,11.1610,-5.9697
112787658.6910,4.2042,11.1610,-5.8797
112888183.5940,4.7040,11.5311,-5.4797
112988708.4960,4.4239,11.6412,-5.8997
113089233.3980,4.6337,11.2312,-5.2297
113189758.3010,5.1336,11.3413,-5.5897
113290283.2030,3.6535,10.9714,-6.0697
