Frequency,North_Port_Input,South_Port_Output,DS_AFE_Input
96000000.0000,-39.9739,-25.8654,-56.9297
96100524.9020,-39.7473,-25.9256,-56.9497
96201049.8050,-40.0506,-25.8358,-56.2897
96301574.7070,-40.1940,-25.7260,-56.4497
96402099.6090,-40.3573,-25.9563,-56.5297
96502624.5120,-40.2107,-25.7965,-56.4497
96603149.4140,-39.7540,-25.7567,-56.7397
96703674.3160,-40.3773,-26.1569,-56.9497
96804199.2190,-39.7807,-25.8872,-56.0597
96904724.1210,-39.7740,-25.8774,-55.9797
97005249.0230,-40.1774,-26.0376,-56.1697
97105773.9260,-40.1207,-25.8578,-56.3097
97206298.8280,-39.6241,-25.8081,-55.8797
97306823.7300,-40.0174,-25.8383,-55.9097
97407348.6330,-39.0608,-26.2685,-55.8697
97507873.5350,-39.3941,-25.7487,-56.0097
97608398.4380,-39.7474,-25.4790,-55.9097
97708923.3400,-39.0708,-25.6892,-55.8997
97809448.2420,-39.9641,-25.4894,-55.2097
97909973.1450,-39.6975,-25.5496,-55.5997
98010498.0470,-39.1308,-25.4599,-55.1297
98111022.9490,-39.5642,-25.6501,-55.4397
98211547.8520,-39.3375,-25.4403,-54.9997
98312072.7540,-39.5509,-25.4205,-54.9497
98412597.6560,-39.1742,-25.7308,-54.8897
98513122.5590,-39.1976,-25.3010,-54.9097
98613647.4610,-39.2009,-24.8412,-54.7297
98714172.3630,-39.2142,-25.2414,-54.7897
98814697.2660,-39.4076,-25.6117,-54.9097
98915222.1680,-38.9009,-25.1119,-54.8897
99015747.0700,-39.0743,-25.2421,-54.6397
99116271.9730,-39.3876,-25.6223,-54.4197
99216796.8750,-39.1710,-25.0626,-54.0597
99317321.7770,-39.1843,-24.9728,-54.3797
99417846.6800,-39.0177,-25.2430,-54.1897
99518371.5820,-39.1210,-25.0132,-54.0797
99618896.4840,-38.6244,-25.4735,-54.0097
99719421.3870,-38.6677,-25.2137,-53.9697
99819946.2890,-38.7010,-25.0739,-54.1397
99920471.1910,-39.0144,-25.1541,-54.3297
100020996.0940,-38.3177,-25.4144,-53.9797
100121520.9960,-38.3911,-25.1046,-53.9797
100222045.8980,-38.6744,-25.7248,-53.7597
100322570.8010,-38.6978,-25.5651,-54.0397
100423095.7030,-38.4011,-24.6253,-53.9497
100523620.6050,-38.4845,-25.3955,-53.7497
100624145.5080,-38.3578,-24.4757,-53.6397
100724670.4100,-38.5611,-24.2560,-53.6597
100825195.3120,-38.4145,-25.0762,-53.4397
100925720.2150,-38.3178,-24.6864,-53.5497
101026245.1170,-38.0812,-25.0866,-53.3297
101126770.0200,-38.4145,-25.2869,-53.4397
101227294.9220,-38.4479,-24.8171,-53.3797
101327819.8240,-38.3512,-24.9173,-53.2997
101428344.7270,-38.5646,-25.0175,-53.0397
101528869.6290,-38.5779,-24.9578,-53.1697
101629394.5310,-38.2913,-24.7280,-52.7897
101729919.4340,-38.7946,-24.7882,-53.0797
101830444.3360,-38.6179,-25.0484,-52.8997
101930969.2380,-38.0813,-25.0387,-52.7897
102031494.1410,-38.1346,-24.8489,-52.5197
102132019.0430,-38.5980,-24.6891,-52.6397
102232543.9450,-37.9313,-24.6393,-52.7297
102333068.8480,-38.1047,-24.6796,-52.5697
